boundary,component,control,hi,lo,stage,units,width
50,1,C4,0.019834955834887074,-0.01898575813868657,B14,new normalized,0.038820713973573645
50,0,C4,0.0010886480498237968,-0.0010451959235998926,B15,endpoint physical,0.0021338439734236896
50,1,C4,0.0010527082689177224,-0.0010076384717284694,B15,endpoint physical,0.0020603467406461917
50,0,C4,4.2142078250587715e-06,-4.240368217178811e-06,B16,tube physical,8.454576042237582e-06
50,1,C4,6.191014357457307e-05,-5.88654041253742e-05,B16,tube physical,0.00012077554769994727
51,0,C4,0.9741403429193175,-0.8075136759537206,A0,old normalized,1.781654018873038
51,1,C4,0.9801650441651129,-0.8620747024975177,A0,old normalized,1.8422397466626306
51,0,C4,0.025859657080682087,-0.02482749881451099,A1,old normalized,0.05068715589519308
51,1,C4,0.019834955834887074,-0.01898575813868657,A1,old normalized,0.038820713973573645
51,0,C4,8e-323,-8e-323,A2,old normalized,1.6e-322
51,1,C4,8e-323,-8e-323,A2,old normalized,1.6e-322
51,0,C4,0.02585965708068209,-0.024827498814510993,A3,old normalized,0.050687155895193084
51,1,C4,0.019834955834887077,-0.018985758138686575,A3,old normalized,0.03882071397357365
51,0,C4,0.02810082277802798,-0.026981241358905148,B0,new normalized,0.05508206413693313
51,1,C4,0.022165158872790802,-0.021209569087825477,B0,new normalized,0.04337472796061628
51,0,C4,1.9143663602331231,1.8328303495494707,B1,endpoint physical,0.08153601068365246
51,1,C4,-0.43410624105617945,-0.5262696707306508,B1,endpoint physical,0.09216342967447133
51,0,C4,0.9999999999999996,-0.8323411747682316,B2,old normalized,1.832341174768231
51,1,C4,0.9999999999999999,-0.8810604606362042,B2,old normalized,1.881060460636204
51,0,C4,8e-323,-8e-323,B3,old normalized,1.6e-322
51,1,C4,8e-323,-8e-323,B3,old normalized,1.6e-322
51,0,C4,0.042139472478616574,0.042119676157418774,B4,endpoint physical,1.9796321197800004e-05
51,1,C4,0.002305031579123798,0.002288749436115206,B4,endpoint physical,1.628214300859179e-05
51,0,C4,0.0011354325074278062,-0.001089980475070251,B5,endpoint physical,0.0022254129824980573
