all_candidate_gates,attempted_diagnostic_immutable,boundary,decision,h_accepted_hex,scheduler_matches_historical,t_after,t_before,x_margin,y_margin
True,True,157,accepted,0x1.17df254abc8b1p-5,True,4.541141951083286,4.506977929747857,9.658359486645706e-05,2.903042185962835e-05
True,True,158,accepted,0x1.33dbdc389c32ap-5,True,4.5787223745522585,4.541141951083286,9.624195465310277e-05,1.2843603124248256e-05
True,True,159,accepted,0x1.52a50bd7df048p-6,True,4.599391607460193,4.5787223745522585,9.793307370920653e-05,7.067974608026292e-05
True,True,160,accepted,0x1.748259d3dbb83p-6,True,4.622127763658922,4.599391607460193,9.772638138012718e-05,6.539186625725531e-05
True,True,161,accepted,0x1.99c29602a4e44p-6,True,4.647137535477523,4.622127763658922,9.74990198181399e-05,5.879405133345433e-05
True,True,162,accepted,0x1.c2bc71cfb5618p-6,True,4.674648284477984,4.647137535477523,9.724892209995388e-05,5.0471132067592585e-05
True,True,163,accepted,0x1.efcf49fe1451bp-6,True,4.704910108378491,4.674648284477984,9.697381460994927e-05,3.9837226487220375e-05
True,True,164,accepted,0x1.10b2024bbe602p-5,True,4.738198114669049,4.704910108378491,9.66711963709442e-05,2.606976599155088e-05
True,True,165,accepted,0x1.2bf70286849cfp-5,True,4.774814921588663,4.738198114669049,9.633831630803861e-05,8.058292550631015e-06
True,True,166,accepted,0x1.49f61c60c5131p-6,True,4.794954165394451,4.774814921588663,9.798607261942124e-05,6.960799207635677e-05
True,True,167,accepted,0x1.6af51f373f2eap-6,True,4.817107333580817,4.794954165394451,9.778468018136337e-05,6.381945460645695e-05
True,True,168,accepted,0x1.8f40d589924cfp-6,True,4.84147581858582,4.817107333580817,9.75631484994997e-05,5.6531566984256804e-05
True,True,169,accepted,0x1.b72db7b0edbb1p-6,True,4.868281152091324,4.84147581858582,9.731946364944967e-05,4.7257848429365885e-05
True,True,170,accepted,0x1.e318b075d24ddp-6,True,4.897767018947378,4.868281152091324,9.705141031439463e-05,3.532912338426999e-05
True,True,171,accepted,0x1.09b3faa733aadp-5,True,4.930201472489037,4.897767018947378,9.67565516458341e-05,1.9816006484310228e-05
True,True,172,accepted,0x1.2445fa1e526f2p-6,True,4.948040421936949,4.930201472489037,9.821610205520875e-05,7.294605820093352e-05
True,True,173,accepted,0x1.41802cbaf4471p-6,True,4.9676632663296525,4.948040421936949,9.803771256072963e-05,6.780443603988153e-05
True,True,174,accepted,0x1.61a6979a731b0p-6,True,4.989248395161627,4.9676632663296525,9.78414841168026e-05,6.13512940113621e-05
True,True,175,accepted,0x1.85040d29e5042p-6,True,5.012992036876798,4.989248395161627,9.762563282848285e-05,5.3169904426965265e-05
True,True,176,accepted,0x1.abeadb47af1e3p-6,True,5.039110042763487,5.012992036876798,9.738819641133114e-05,4.268951505766225e-05
True,True,177,accepted,0x1.d6b58aceda3aep-6,True,5.067839849238845,5.039110042763487,9.712701635246424e-05,2.912085757553766e-05
True,True,178,accepted,0x1.02e3d924f806dp-5,True,5.099442636361738,5.067839849238845,9.683971828771067e-05,1.136153314221099e-05
True,True,179,accepted,0x1.1cc76edbdda12p-6,True,5.1168241692793295,5.099442636361738,9.826184370824087e-05,7.06906785979058e-05
True,True,180,accepted,0x1.3941c6bea6fe1p-6,True,5.13594385548868,5.1168241692793295,9.808802837906495e-05,6.479083887178801e-05
True,True,181,accepted,0x1.5895276b514abp-6,True,5.156975510318966,5.13594385548868,9.789683151697145e-05,5.732971236035859e-05
True,True,182,accepted,0x1.7b0a78293fd23p-6,True,5.18011033063228,5.156975510318966,9.768651496866859e-05,4.7801160228728816e-05
True,True,183,accepted,0x1.a0f1ea93c6341p-6,True,5.205558632976925,5.18011033063228,9.745516676553546e-05,3.550888113757432e-05
True,True,184,accepted,0x1.caa3b53c26d2fp-6,True,5.233551765556035,5.205558632976925,9.720068374208901e-05,1.9485507090087376e-05
True,True,185,accepted,0x1.f880e0f55de81p-7,True,5.248947988474545,5.233551765556035,9.846037470814895e-05,7.30346023921286e-05
True,True,186,accepted,0x1.157a1553c072ep-6,True,5.2658838336849065,5.248947988474545,9.830641247896384e-05,6.757866452663971e-05
True,True,187,accepted,0x1.31397ddc207e6p-6,True,5.284513263416304,5.2658838336849065,9.813705402686023e-05,6.069789332191103e-05
True,True,188,accepted,0x1.4fbf3da556f17p-6,True,5.305005636120842,5.284513263416304,9.795075972954625e-05,5.1940710598256765e-05
True,True,189,accepted,0x1.71525d6912d67p-6,True,5.327547246095833,5.305005636120842,9.774583600250088e-05,4.069008260486127e-05
True,True,190,accepted,0x1.96410059fb1f2p-6,True,5.352343017068323,5.327547246095833,9.752041990275097e-05,2.609505198396554e-05
True,True,191,accepted,0x1.bee119fc943bep-6,True,5.379618365138063,5.352343017068323,9.727246219302607e-05,6.970618681027873e-06
True,True,192,accepted,0x1.eb91362f6fdb8p-7,True,5.3946198065764195,5.379618365138063,9.849985285616433e-05,6.944931560728558e-05
True,True,193,accepted,0x1.0e5caa9a171f2p-6,True,5.411121392158612,5.3946198065764195,9.834983844178077e-05,6.292468903860602e-05
True,True,194,accepted,0x1.2965eedcb308bp-6,True,5.429273136299024,5.411121392158612,9.818482258595884e-05,5.4646433985254e-05
True,True,195,accepted,0x1.4723538c5e899p-6,True,5.449240054853477,5.429273136299024,9.800330514455473e-05,4.4053208619118156e-05
True,True,196,accepted,0x1.67da0f1a67fdcp-6,True,5.471203665263375,5.449240054853477,9.78036359590102e-05,3.0378181875638803e-05
True,True,197,accepted,0x1.8bd643d03f30cp-6,True,5.495363636714263,5.471203665263375,9.758399985491122e-05,1.2565132687711566e-05
True,True,198,accepted,0x1.b36bb0feabe8ep-7,True,5.508651621012251,5.495363636714263,9.867119857020118e-05,7.116022812407536e-05
True,True,199,accepted,0x1.def675e4f04d0p-7,True,5.523268403740038,5.508651621012251,9.853831872722129e-05,6.499257612518462e-05
True,True,200,accepted,0x1.076df40ab75d9p-6,True,5.539346864740604,5.523268403740038,9.839215089994342e-05,5.719975343132466e-05
True,True,201,accepted,0x1.21c5bfa5634d6p-6,True,5.557033171841226,5.539346864740604,9.823136628993775e-05,4.7278796427369045e-05
True,True,202,accepted,0x1.3ebfec69206ecp-6,True,5.576488109651911,5.557033171841226,9.805450321893154e-05,3.454960395209871e-05
True,True,203,accepted,0x1.5e9fea73a3ad1p-6,True,5.597888541243664,5.576488109651911,9.785995384082468e-05,1.8084519873557748e-05
True,True,204,accepted,0x1.81afe84c00d80p-7,True,5.609658778619129,5.597888541243664,9.882297326245358e-05,7.291748651841921e-05
True,True,205,accepted,0x1.a8417f86cdba7p-7,True,5.62260603973214,5.609658778619129,9.870527088869893e-05,6.715013657179942e-05
True,True,206,accepted,0x1.d2ae72ade24d2p-7,True,5.636848026956451,5.62260603973214,9.857579827756883e-05,5.990161985187627e-05
True,True,207,accepted,0x1.00acbf12d610dp-6,True,5.652514212903194,5.636848026956451,9.843337840532571e-05,5.073233460351209e-05
True,True,208,accepted,0x1.1a579efb1eac2p-6,True,5.669747017444611,5.652514212903194,9.827671654585828e-05,3.9057194081435685e-05
True,True,209,accepted,0x1.369395476e8a3p-6,True,5.68870310244017,5.669747017444611,9.810438850044412e-05,2.409287751271413e-05
True,True,210,accepted,0x1.55a257682ccb4p-6,True,5.7095547959352855,5.68870310244017,9.791482765048852e-05,4.787526787858933e-06
True,True,211,accepted,0x1.77cc2cf297ac7p-7,True,5.721023227357598,5.7095547959352855,9.885315385776869e-05,6.848025482976335e-05
True,True,212,accepted,0x1.9d6097d7a6d75p-7,True,5.733638501922143,5.721023227357598,9.873846954354555e-05,6.175563943812233e-05
True,True,213,accepted,0x1.c6b70d6d37868p-7,True,5.747515303943142,5.733638501922143,9.861231679790011e-05,5.334835551089139e-05
True,True,214,accepted,0x1.f42fc1f8237a6p-7,True,5.762779786166241,5.747515303943142,9.847354877769012e-05,4.277916581882592e-05
True,True,215,accepted,0x1.131a444879e9cp-6,True,5.77957071661165,5.762779786166241,9.832090395545913e-05,2.9414279322859994e-05
True,True,216,accepted,0x1.2e9ce4b61fb46p-6,True,5.798040740101599,5.77957071661165,9.815299465100505e-05,1.2357252638804845e-05
True,True,217,accepted,0x1.4cdfc861efacdp-7,True,5.808199253021071,5.798040740101599,9.898414570805277e-05,6.984809387533646e-05
True,True,218,accepted,0x1.6e295c6bbad7cp-7,True,5.819373617232491,5.808199253021071,9.888256057885805e-05,6.34395865763986e-05
True,True,219,accepted,0x1.92c718dce7209p-7,True,5.831665417865052,5.819373617232491,9.877081693674386e-05,5.536172254234162e-05
True,True,220,accepted,0x1.bb0e34f2fe3d7p-7,True,5.84518639856087,5.831665417865052,9.864789893041824e-05,4.5184325378376626e-05
True,True,221,accepted,0x1.e75c6d71b143ap-7,True,5.860059477326269,5.84518639856087,9.851268912346007e-05,3.222702104625804e-05
True,True,222,accepted,0x1.0c0c6f64ee4bap-6,True,5.876419863968208,5.860059477326269,9.836395833580608e-05,1.5636420308744322e-05
True,True,223,accepted,0x1.26da7a889fb9ap-7,True,5.885418076621275,5.876419863968208,9.910017573469334e-05,7.156456172540513e-05
True,True,224,accepted,0x1.4456b9fcafb2ap-7,True,5.895316110539649,5.885418076621275,9.901019360816268e-05,6.547174997057925e-05
True,True,225,accepted,0x1.64c5cc95f477cp-7,True,5.90620394784986,5.895316110539649,9.891121326897895e-05,5.787305888271973e-05
True,True,226,accepted,0x1.88732dd82683cp-7,True,5.918180568891091,5.90620394784986,9.880233489587684e-05,4.834384782904149e-05
True,True,227,accepted,0x1.afb1e5a0f72a9p-7,True,5.931354852036446,5.918180568891091,9.868256868546452e-05,3.632177652351627e-05
True,True,228,accepted,0x1.dadd496443154p-7,True,5.945846563496336,5.931354852036446,9.855082585401097e-05,1.9330256717348137e-05
True,True,229,accepted,0x1.052ce85d8b4bbp-7,True,5.953817004799276,5.945846563496336,9.920295286970603e-05,7.362161475933245e-05
True,True,230,accepted,0x1.1f4aff9a1939bp-7,True,5.962584490232509,5.953817004799276,9.912324845667664e-05,6.770175822583041e-05
True,True,231,accepted,0x1.3c05b2c31bbf8p-7,True,5.972228724209066,5.962584490232509,9.903557360234431e-05,5.9709250031069586e-05
True,True,232,accepted,0x1.5b9fde3d04ec4p-7,True,5.982837381583279,5.972228724209066,9.893913126257874e-05,4.942217966311432e-05
True,True,233,accepted,0x1.7e630e0febd0bp-7,True,5.994506904694913,5.982837381583279,9.883304468883661e-05,3.6118344162909904e-05
True,True,234,accepted,0x1.a4a0291183659p-7,True,6.00734338011771,5.994506904694913,9.871634945772027e-05,1.883995122977515e-05
True,True,235,accepted,0x1.ceb02d2cdd563p-8,True,6.0144034416002485,6.00734338011771,9.929399085174615e-05,7.433640880688785e-05
