plant,step,t_end_exact,view,metric,component,baseline_lo_hex,baseline_hi_hex,candidate_lo_hex,candidate_hi_hex,baseline_width,candidate_width,width_ratio,bitwise_equal
brusselator,13,74939897799445055/288230376151711744,common,tube,x,0x1.edef9ab13240ap+0,0x1.11078a05e439ap+1,0x1.edef9ab13240ap+0,0x1.11078a05e439ap+1,0.2036052557143173,0.2036052557143173,1.0,True
brusselator,13,74939897799445055/288230376151711744,common,tube,y,0x1.191a71aa1ed83p+1,0x1.2ea8de21d44dep+1,0x1.191a71aa1ed83p+1,0x1.2ea8de21d44dep+1,0.16840892644078798,0.16840892644078798,1.0,True
brusselator,14,40352252661239645/144115188075855872,published,endpoint,x,0x1.01f7973861e61p+1,0x1.1758a8035a72cp+1,0x1.01f7973861e61p+1,0x1.1758a8035a72cp+1,0.16702470694244687,0.16702470694244687,1.0,True
brusselator,14,40352252661239645/144115188075855872,published,endpoint,y,0x1.10df461ea76efp+1,0x1.1d6c6607110d1p+1,0x1.10df461ea76efp+1,0x1.1d6c6607110d1p+1,0.09805678222913716,0.09805678222913716,1.0,True
brusselator,14,40352252661239645/144115188075855872,published,tube,x,0x1.f84db5d0679f8p+0,0x1.176d605e50914p+1,0x1.f84db5d0679f8p+0,0x1.176d605e50914p+1,0.21308964030459876,0.21308964030459876,1.0,True
brusselator,14,40352252661239645/144115188075855872,published,tube,y,0x1.0fe0d078c86c9p+1,0x1.26e8567452e00p+1,0x1.0fe0d078c86c9p+1,0x1.26e8567452e00p+1,0.17991709501520914,0.17991709501520914,1.0,True
brusselator,14,40352252661239645/144115188075855872,common,endpoint,x,0x1.01f7973861e6fp+1,0x1.1758a8035a720p+1,0x1.01f7973861e6fp+1,0x1.1758a8035a720p+1,0.16702470694243532,0.16702470694243532,1.0,True
brusselator,14,40352252661239645/144115188075855872,common,endpoint,y,0x1.10df461ea76fdp+1,0x1.1d6c6607110c3p+1,0x1.10df461ea76fdp+1,0x1.1d6c6607110c3p+1,0.09805678222912473,0.09805678222912473,1.0,True
brusselator,14,40352252661239645/144115188075855872,common,tube,x,0x1.f84db5d067a2ep+0,0x1.176d605e508edp+1,0x1.f84db5d067a2ep+0,0x1.176d605e508edp+1,0.21308964030456945,0.21308964030456945,1.0,True
brusselator,14,40352252661239645/144115188075855872,common,tube,y,0x1.0fe0d078c86f1p+1,0x1.26e8567452dd7p+1,0x1.0fe0d078c86f1p+1,0x1.26e8567452dd7p+1,0.17991709501517317,0.17991709501517317,1.0,True
brusselator,15,86469112845513525/288230376151711744,published,endpoint,x,0x1.06f4bb9342faap+1,0x1.1d809f5c30447p+1,0x1.06f4bb9342faap+1,0x1.1d809f5c30447p+1,0.17614409743198545,0.17614409743198545,1.0,True
