plant,step,history_length,history_length_after,category,label,seconds,calls,interval_constructions,tensor_outputs,explicit_copy_events,step_seconds,boundary_sum_seconds,nonboundary_seconds,pass_kind,window,inplace_tensor_self_returns,tensor_result_creations,actual_entry_details,binding_details
brusselator,5,4,5,G,history_checks_pack_propagate_commit,0.006083965767174959,30,36,2319,144,1.1004285267554224,0.6402772907167673,0.46015123603865504,exclusive_wall_timer,brusselator_early,0,2319,raw_minimal/profiles/brusselator_early_wall/operations.csv,raw_minimal/profiles/brusselator_early_wall/source.json
brusselator,5,4,5,H,other_boundary,0.003287259489297867,1,34,1064,136,1.1004285267554224,0.6402772907167673,0.46015123603865504,exclusive_wall_timer,brusselator_early,0,1064,raw_minimal/profiles/brusselator_early_wall/operations.csv,raw_minimal/profiles/brusselator_early_wall/source.json
brusselator,5,4,5,outside_boundary,nonboundary_or_unattributed,0.46015123603865504,0,297,122032,11690,1.1004285267554224,0.6402772907167673,0.46015123603865504,exclusive_wall_timer,brusselator_early,646,121386,raw_minimal/profiles/brusselator_early_wall/operations.csv,raw_minimal/profiles/brusselator_early_wall/source.json
brusselator,6,5,6,A,representation_and_coefficients,0.048688209149986506,234,5,13761,1748,1.128279209136963,0.6696874708868563,0.4585917382501066,exclusive_wall_timer,brusselator_early,8,13753,raw_minimal/profiles/brusselator_early_wall/operations.csv,raw_minimal/profiles/brusselator_early_wall/source.json
brusselator,6,5,6,B,point_substitution,0.000929622445255518,3,0,344,0,1.128279209136963,0.6696874708868563,0.4585917382501066,exclusive_wall_timer,brusselator_early,1,343,raw_minimal/profiles/brusselator_early_wall/operations.csv,raw_minimal/profiles/brusselator_early_wall/source.json
brusselator,6,5,6,C,endpoint_error_and_ledger,0.01756612677127123,7,28,5276,118,1.128279209136963,0.6696874708868563,0.4585917382501066,exclusive_wall_timer,brusselator_early,42,5234,raw_minimal/profiles/brusselator_early_wall/operations.csv,raw_minimal/profiles/brusselator_early_wall/source.json
brusselator,6,5,6,D,polynomial_interval_range,0.5094102858565748,262,8898,179078,35592,1.128279209136963,0.6696874708868563,0.4585917382501066,exclusive_wall_timer,brusselator_early,0,179078,raw_minimal/profiles/brusselator_early_wall/operations.csv,raw_minimal/profiles/brusselator_early_wall/source.json
brusselator,6,5,6,E,composition_and_cutoff,0.08135241642594337,181,1038,29298,4408,1.128279209136963,0.6696874708868563,0.4585917382501066,exclusive_wall_timer,brusselator_early,0,29298,raw_minimal/profiles/brusselator_early_wall/operations.csv,raw_minimal/profiles/brusselator_early_wall/source.json
brusselator,6,5,6,F,center_scale_and_maps,0.001727134920656681,5,4,612,20,1.128279209136963,0.6696874708868563,0.4585917382501066,exclusive_wall_timer,brusselator_early,0,612,raw_minimal/profiles/brusselator_early_wall/operations.csv,raw_minimal/profiles/brusselator_early_wall/source.json
brusselator,6,5,6,G,history_checks_pack_propagate_commit,0.0066835894249379635,30,40,2515,160,1.128279209136963,0.6696874708868563,0.4585917382501066,exclusive_wall_timer,brusselator_early,0,2515,raw_minimal/profiles/brusselator_early_wall/operations.csv,raw_minimal/profiles/brusselator_early_wall/source.json
brusselator,6,5,6,H,other_boundary,0.0033300858922302723,1,34,1064,136,1.128279209136963,0.6696874708868563,0.4585917382501066,exclusive_wall_timer,brusselator_early,0,1064,raw_minimal/profiles/brusselator_early_wall/operations.csv,raw_minimal/profiles/brusselator_early_wall/source.json
brusselator,6,5,6,outside_boundary,nonboundary_or_unattributed,0.4585917382501066,0,297,122032,11690,1.128279209136963,0.6696874708868563,0.4585917382501066,exclusive_wall_timer,brusselator_early,646,121386,raw_minimal/profiles/brusselator_early_wall/operations.csv,raw_minimal/profiles/brusselator_early_wall/source.json
brusselator,7,6,7,A,representation_and_coefficients,0.053914142306894064,236,5,14913,1892,1.254331068135798,0.7863383572548628,0.4679927108809352,exclusive_wall_timer,brusselator_early,8,14905,raw_minimal/profiles/brusselator_early_wall/operations.csv,raw_minimal/profiles/brusselator_early_wall/source.json
brusselator,7,6,7,B,point_substitution,0.0011094501242041588,3,0,344,0,1.254331068135798,0.7863383572548628,0.4679927108809352,exclusive_wall_timer,brusselator_early,1,343,raw_minimal/profiles/brusselator_early_wall/operations.csv,raw_minimal/profiles/brusselator_early_wall/source.json
brusselator,7,6,7,C,endpoint_error_and_ledger,0.02056077867746353,7,28,5276,118,1.254331068135798,0.7863383572548628,0.4679927108809352,exclusive_wall_timer,brusselator_early,42,5234,raw_minimal/profiles/brusselator_early_wall/operations.csv,raw_minimal/profiles/brusselator_early_wall/source.json
brusselator,7,6,7,D,polynomial_interval_range,0.6076588118448853,264,9896,200422,39584,1.254331068135798,0.7863383572548628,0.4679927108809352,exclusive_wall_timer,brusselator_early,0,200422,raw_minimal/profiles/brusselator_early_wall/operations.csv,raw_minimal/profiles/brusselator_early_wall/source.json
