failure_category,failure_message,h,protocol,requested_horizon,run_id,successful_horizon,system,tool,tool_variant
,,0.02,one_step_tube,0.02,flowstar_1c4d666bfaa568f2,0.02,harmonic,flowstar,flowstar_stock
,,0.02,one_step_tube,0.02,flowstar_e82a890d7944cb3d,0.02,harmonic,flowstar,flowstar_candidate_reinjection_diagnostic
,,0.02,one_step_raw_endpoint,0.02,flowstar_e01b54eba98447aa,0.02,harmonic,flowstar,flowstar_stock
,,0.02,one_step_raw_endpoint,0.02,flowstar_e7129447b4554715,0.02,harmonic,flowstar,flowstar_candidate_reinjection_diagnostic
first_picard_inclusion_failed,Flowpipe::advance fixed-step/fixed-order first Picard image was not a subset; state=0 source_line=1120,0.05,one_step_tube,0.05,flowstar_5eee380c2bb381c6,0.0,harmonic,flowstar,flowstar_stock
first_picard_inclusion_failed,Flowpipe::advance fixed-step/fixed-order first Picard image was not a subset; state=0 source_line=1120,0.05,one_step_tube,0.05,flowstar_a16007373a2df7c8,0.0,harmonic,flowstar,flowstar_candidate_reinjection_diagnostic
first_picard_inclusion_failed,Flowpipe::advance fixed-step/fixed-order first Picard image was not a subset; state=0 source_line=1120,0.05,one_step_raw_endpoint,0.05,flowstar_be3d1ef88fe5cae3,0.0,harmonic,flowstar,flowstar_stock
first_picard_inclusion_failed,Flowpipe::advance fixed-step/fixed-order first Picard image was not a subset; state=0 source_line=1120,0.05,one_step_raw_endpoint,0.05,flowstar_c202da49d657a0b8,0.0,harmonic,flowstar,flowstar_candidate_reinjection_diagnostic
first_picard_inclusion_failed,Flowpipe::advance fixed-step/fixed-order first Picard image was not a subset; state=0 source_line=1120,0.01,common_box_raw_endpoint_carry,4.0,flowstar_98ca68267b070111,2.3099999999999947,harmonic,flowstar,flowstar_stock
first_picard_inclusion_failed,Flowpipe::advance fixed-step/fixed-order first Picard image was not a subset; state=0 source_line=1120,0.01,common_box_raw_endpoint_carry,4.0,flowstar_9cc7ca69eae9cfcf,2.2199999999999966,harmonic,flowstar,flowstar_candidate_reinjection_diagnostic
,,0.01,native_representation,4.0,flowstar_60d6716c1fb9f7b2,3.9999999999999587,harmonic,flowstar,flowstar_stock
,,0.01,deliberate_low_order_stress,4.0,flowstar_ebcd097a158ecc46,3.9999999999999587,harmonic,flowstar,flowstar_stock
,,0.01,one_step_raw_endpoint,0.01,flowstar_396feba4d074f4f9,0.01,harmonic,flowstar,flowstar_no_refinement_diagnostic
,,0.0025,one_step_tube,0.0025,flowstar_4a7207a07a535ac3,0.0025,van_der_pol,flowstar,flowstar_stock
,,0.0025,one_step_tube,0.0025,flowstar_327e6b07bff4214a,0.0025,van_der_pol,flowstar,flowstar_candidate_reinjection_diagnostic
,,0.0025,one_step_raw_endpoint,0.0025,flowstar_fba659eb4db860c8,0.0025,van_der_pol,flowstar,flowstar_stock
,,0.0025,one_step_raw_endpoint,0.0025,flowstar_b696e8774fa70969,0.0025,van_der_pol,flowstar,flowstar_candidate_reinjection_diagnostic
,,0.005,one_step_tube,0.005,flowstar_c3786660a3e95c7f,0.005,van_der_pol,flowstar,flowstar_stock
,,0.005,one_step_tube,0.005,flowstar_d14f3a552c253e5c,0.005,van_der_pol,flowstar,flowstar_candidate_reinjection_diagnostic
,,0.005,one_step_raw_endpoint,0.005,flowstar_d0645ab573985594,0.005,van_der_pol,flowstar,flowstar_stock
,,0.005,one_step_raw_endpoint,0.005,flowstar_b4bc5fb4412f1a8f,0.005,van_der_pol,flowstar,flowstar_candidate_reinjection_diagnostic
first_picard_inclusion_failed,Flowpipe::advance fixed-step/fixed-order first Picard image was not a subset; state=1 source_line=1120,0.01,one_step_tube,0.01,flowstar_87fad2e181d61968,0.0,van_der_pol,flowstar,flowstar_stock
first_picard_inclusion_failed,Flowpipe::advance fixed-step/fixed-order first Picard image was not a subset; state=1 source_line=1120,0.01,one_step_tube,0.01,flowstar_1291e058c60f0864,0.0,van_der_pol,flowstar,flowstar_candidate_reinjection_diagnostic
first_picard_inclusion_failed,Flowpipe::advance fixed-step/fixed-order first Picard image was not a subset; state=1 source_line=1120,0.01,one_step_raw_endpoint,0.01,flowstar_f4509babca10cbda,0.0,van_der_pol,flowstar,flowstar_stock
first_picard_inclusion_failed,Flowpipe::advance fixed-step/fixed-order first Picard image was not a subset; state=1 source_line=1120,0.01,one_step_raw_endpoint,0.01,flowstar_ba0121156bb3b65b,0.0,van_der_pol,flowstar,flowstar_candidate_reinjection_diagnostic
first_picard_inclusion_failed,Flowpipe::advance fixed-step/fixed-order first Picard image was not a subset; state=1 source_line=1120,0.02,one_step_tube,0.02,flowstar_126cf05197e19d5f,0.0,van_der_pol,flowstar,flowstar_stock
first_picard_inclusion_failed,Flowpipe::advance fixed-step/fixed-order first Picard image was not a subset; state=1 source_line=1120,0.02,one_step_tube,0.02,flowstar_d2d60df406e76af5,0.0,van_der_pol,flowstar,flowstar_candidate_reinjection_diagnostic
first_picard_inclusion_failed,Flowpipe::advance fixed-step/fixed-order first Picard image was not a subset; state=1 source_line=1120,0.02,one_step_raw_endpoint,0.02,flowstar_04fe3bbcaacceef2,0.0,van_der_pol,flowstar,flowstar_stock
first_picard_inclusion_failed,Flowpipe::advance fixed-step/fixed-order first Picard image was not a subset; state=1 source_line=1120,0.02,one_step_raw_endpoint,0.02,flowstar_4436cb4e933e4fad,0.0,van_der_pol,flowstar,flowstar_candidate_reinjection_diagnostic
first_picard_inclusion_failed,Flowpipe::advance fixed-step/fixed-order first Picard image was not a subset; state=1 source_line=1120,0.005,common_box_raw_endpoint_carry,1.0,flowstar_4be642cda088f0cb,0.10500000000000002,van_der_pol,flowstar,flowstar_stock
first_picard_inclusion_failed,Flowpipe::advance fixed-step/fixed-order first Picard image was not a subset; state=1 source_line=1120,0.005,common_box_raw_endpoint_carry,1.0,flowstar_020e46a34a00bab7,0.075,van_der_pol,flowstar,flowstar_candidate_reinjection_diagnostic
first_picard_inclusion_failed,Flowpipe::advance fixed-step/fixed-order first Picard image was not a subset; state=1 source_line=1120,0.005,native_representation,1.0,flowstar_86e548ca1b24577f,0.14000000000000004,van_der_pol,flowstar,flowstar_stock
first_picard_inclusion_failed,Flowpipe::advance fixed-step/fixed-order first Picard image was not a subset; state=1 source_line=1120,0.005,deliberate_low_order_stress,1.0,flowstar_8930b00b84cf7429,0.14000000000000004,van_der_pol,flowstar,flowstar_stock
first_picard_inclusion_failed,Flowpipe::advance fixed-step/fixed-order first Picard image was not a subset; state=1 source_line=1120,0.01,common_box_raw_endpoint_carry,1.0,flowstar_e7b5d9c0a6db16f3,0.0,van_der_pol,flowstar,flowstar_stock
first_picard_inclusion_failed,Flowpipe::advance fixed-step/fixed-order first Picard image was not a subset; state=1 source_line=1120,0.01,common_box_raw_endpoint_carry,1.0,flowstar_a3aaafab5402f75c,0.0,van_der_pol,flowstar,flowstar_candidate_reinjection_diagnostic
first_picard_inclusion_failed,Flowpipe::advance fixed-step/fixed-order first Picard image was not a subset; state=1 source_line=1120,0.01,native_representation,1.0,flowstar_5dc0ffae8fc72a84,0.0,van_der_pol,flowstar,flowstar_stock
first_picard_inclusion_failed,Flowpipe::advance fixed-step/fixed-order first Picard image was not a subset; state=1 source_line=1120,0.01,deliberate_low_order_stress,1.0,flowstar_a93cefa9ee853399,0.0,van_der_pol,flowstar,flowstar_stock
,,0.005,one_step_raw_endpoint,0.005,flowstar_5301251e9fe4a449,0.005,van_der_pol,flowstar,flowstar_no_refinement_diagnostic
,,0.01,common_box_raw_endpoint_carry,0.1,flowstar_f688d9ac3129a2be,0.09999999999999999,riccati,flowstar,flowstar_stock
,,0.01,common_box_raw_endpoint_carry,0.1,flowstar_0ae5a8648f2dd412,0.09999999999999999,riccati,flowstar,flowstar_candidate_reinjection_diagnostic
,,0.01,common_box_raw_endpoint_carry,1.0,flowstar_38f732d9e8ec99d8,1.0000000000000007,harmonic,flowstar,flowstar_stock
,,,known_working_tool_sanity,10.0,flowstar_4bb73ac90a2f364b,10.0,van_der_pol,flowstar,flowstar_original_benchmark_configuration
