absolute_time,analytic_reference_status,h,lower,requested_horizon,sampled_trajectory_status,state_index,step_index,system,tool,tool_variant,upper,width
0.05,passed,0.01,-0.10640821536902136,4.0,passed,0,5,harmonic,torch_tm_flowpipe,torch_order1_common_box_raw,0.10640821536902136,0.2128164307380427
0.05,passed,0.01,-0.10640821536902136,4.0,passed,1,5,harmonic,torch_tm_flowpipe,torch_order1_common_box_raw,0.10640821536902136,0.2128164307380427
0.06,passed,0.01,-0.10773831806239667,4.0,passed,0,6,harmonic,torch_tm_flowpipe,torch_order1_common_box_raw,0.10773831806239667,0.21547663612479334
0.06,passed,0.01,-0.10773831806239667,4.0,passed,1,6,harmonic,torch_tm_flowpipe,torch_order1_common_box_raw,0.10773831806239667,0.21547663612479334
0.07,passed,0.01,-0.10908504703943918,4.0,passed,0,7,harmonic,torch_tm_flowpipe,torch_order1_common_box_raw,0.10908504703943918,0.21817009407887836
0.07,passed,0.01,-0.10908504703943918,4.0,passed,1,7,harmonic,torch_tm_flowpipe,torch_order1_common_box_raw,0.10908504703943918,0.21817009407887836
0.08,passed,0.01,-0.11044861012869471,4.0,passed,0,8,harmonic,torch_tm_flowpipe,torch_order1_common_box_raw,0.11044861012869471,0.22089722025738942
0.08,passed,0.01,-0.11044861012869471,4.0,passed,1,8,harmonic,torch_tm_flowpipe,torch_order1_common_box_raw,0.11044861012869471,0.22089722025738942
0.09,passed,0.01,-0.11182921775656594,4.0,passed,0,9,harmonic,torch_tm_flowpipe,torch_order1_common_box_raw,0.11182921775656594,0.2236584355131319
0.09,passed,0.01,-0.11182921775656594,4.0,passed,1,9,harmonic,torch_tm_flowpipe,torch_order1_common_box_raw,0.11182921775656594,0.2236584355131319
0.1,passed,0.01,-0.11322708297978556,4.0,passed,0,10,harmonic,torch_tm_flowpipe,torch_order1_common_box_raw,0.11322708297978556,0.22645416595957113
0.1,passed,0.01,-0.11322708297978556,4.0,passed,1,10,harmonic,torch_tm_flowpipe,torch_order1_common_box_raw,0.11322708297978556,0.22645416595957113
0.11,passed,0.01,-0.11464242151829543,4.0,passed,0,11,harmonic,torch_tm_flowpipe,torch_order1_common_box_raw,0.11464242151829543,0.22928484303659086
0.11,passed,0.01,-0.11464242151829543,4.0,passed,1,11,harmonic,torch_tm_flowpipe,torch_order1_common_box_raw,0.11464242151829543,0.22928484303659086
0.12,passed,0.01,-0.11607545178853666,4.0,passed,0,12,harmonic,torch_tm_flowpipe,torch_order1_common_box_raw,0.11607545178853666,0.23215090357707333
0.12,passed,0.01,-0.11607545178853666,4.0,passed,1,12,harmonic,torch_tm_flowpipe,torch_order1_common_box_raw,0.11607545178853666,0.23215090357707333
0.13,passed,0.01,-0.11752639493715591,4.0,passed,0,13,harmonic,torch_tm_flowpipe,torch_order1_common_box_raw,0.11752639493715591,0.23505278987431183
0.13,passed,0.01,-0.11752639493715591,4.0,passed,1,13,harmonic,torch_tm_flowpipe,torch_order1_common_box_raw,0.11752639493715591,0.23505278987431183
0.14,passed,0.01,-0.11899547487513291,4.0,passed,0,14,harmonic,torch_tm_flowpipe,torch_order1_common_box_raw,0.11899547487513291,0.23799094975026583
0.14,passed,0.01,-0.11899547487513291,4.0,passed,1,14,harmonic,torch_tm_flowpipe,torch_order1_common_box_raw,0.11899547487513291,0.23799094975026583
0.15,passed,0.01,-0.12048291831233462,4.0,passed,0,15,harmonic,torch_tm_flowpipe,torch_order1_common_box_raw,0.12048291831233462,0.24096583662466925
0.15,passed,0.01,-0.12048291831233462,4.0,passed,1,15,harmonic,torch_tm_flowpipe,torch_order1_common_box_raw,0.12048291831233462,0.24096583662466925
0.16,passed,0.01,-0.12198895479250135,4.0,passed,0,16,harmonic,torch_tm_flowpipe,torch_order1_common_box_raw,0.12198895479250135,0.2439779095850027
0.16,passed,0.01,-0.12198895479250135,4.0,passed,1,16,harmonic,torch_tm_flowpipe,torch_order1_common_box_raw,0.12198895479250135,0.2439779095850027
0.17,passed,0.01,-0.12351381672867016,4.0,passed,0,17,harmonic,torch_tm_flowpipe,torch_order1_common_box_raw,0.12351381672867016,0.24702763345734033
0.17,passed,0.01,-0.12351381672867016,4.0,passed,1,17,harmonic,torch_tm_flowpipe,torch_order1_common_box_raw,0.12351381672867016,0.24702763345734033
0.18,passed,0.01,-0.1250577394390411,4.0,passed,0,18,harmonic,torch_tm_flowpipe,torch_order1_common_box_raw,0.1250577394390411,0.2501154788780822
0.18,passed,0.01,-0.1250577394390411,4.0,passed,1,18,harmonic,torch_tm_flowpipe,torch_order1_common_box_raw,0.1250577394390411,0.2501154788780822
0.19,passed,0.01,-0.12662096118329172,4.0,passed,0,19,harmonic,torch_tm_flowpipe,torch_order1_common_box_raw,0.12662096118329172,0.25324192236658344
0.19,passed,0.01,-0.12662096118329172,4.0,passed,1,19,harmonic,torch_tm_flowpipe,torch_order1_common_box_raw,0.12662096118329172,0.25324192236658344
0.2,passed,0.01,-0.12820372319934545,4.0,passed,0,20,harmonic,torch_tm_flowpipe,torch_order1_common_box_raw,0.12820372319934545,0.2564074463986909
0.2,passed,0.01,-0.12820372319934545,4.0,passed,1,20,harmonic,torch_tm_flowpipe,torch_order1_common_box_raw,0.12820372319934545,0.2564074463986909
0.21,passed,0.01,-0.12980626974059986,4.0,passed,0,21,harmonic,torch_tm_flowpipe,torch_order1_common_box_raw,0.12980626974059986,0.2596125394811997
0.21,passed,0.01,-0.12980626974059986,4.0,passed,1,21,harmonic,torch_tm_flowpipe,torch_order1_common_box_raw,0.12980626974059986,0.2596125394811997
0.22,passed,0.01,-0.13142884811361993,4.0,passed,0,22,harmonic,torch_tm_flowpipe,torch_order1_common_box_raw,0.13142884811361993,0.26285769622723987
0.22,passed,0.01,-0.13142884811361993,4.0,passed,1,22,harmonic,torch_tm_flowpipe,torch_order1_common_box_raw,0.13142884811361993,0.26285769622723987
0.23,passed,0.01,-0.13307170871630278,4.0,passed,0,23,harmonic,torch_tm_flowpipe,torch_order1_common_box_raw,0.13307170871630278,0.26614341743260556
0.23,passed,0.01,-0.13307170871630278,4.0,passed,1,23,harmonic,torch_tm_flowpipe,torch_order1_common_box_raw,0.13307170871630278,0.26614341743260556
0.24,passed,0.01,-0.13473510507651915,4.0,passed,0,24,harmonic,torch_tm_flowpipe,torch_order1_common_box_raw,0.13473510507651915,0.2694702101530383
0.24,passed,0.01,-0.13473510507651915,4.0,passed,1,24,harmonic,torch_tm_flowpipe,torch_order1_common_box_raw,0.13473510507651915,0.2694702101530383
0.25,passed,0.01,-0.13641929389123822,4.0,passed,0,25,harmonic,torch_tm_flowpipe,torch_order1_common_box_raw,0.13641929389123822,0.27283858778247644
0.25,passed,0.01,-0.13641929389123822,4.0,passed,1,25,harmonic,torch_tm_flowpipe,torch_order1_common_box_raw,0.13641929389123822,0.27283858778247644
0.26,passed,0.01,-0.13812453506614128,4.0,passed,0,26,harmonic,torch_tm_flowpipe,torch_order1_common_box_raw,0.13812453506614128,0.27624907013228256
0.26,passed,0.01,-0.13812453506614128,4.0,passed,1,26,harmonic,torch_tm_flowpipe,torch_order1_common_box_raw,0.13812453506614128,0.27624907013228256
0.27,passed,0.01,-0.13985109175573063,4.0,passed,0,27,harmonic,torch_tm_flowpipe,torch_order1_common_box_raw,0.13985109175573063,0.27970218351146126
0.27,passed,0.01,-0.13985109175573063,4.0,passed,1,27,harmonic,torch_tm_flowpipe,torch_order1_common_box_raw,0.13985109175573063,0.27970218351146126
0.28,passed,0.01,-0.14159923040393985,4.0,passed,0,28,harmonic,torch_tm_flowpipe,torch_order1_common_box_raw,0.14159923040393985,0.2831984608078797
0.28,passed,0.01,-0.14159923040393985,4.0,passed,1,28,harmonic,torch_tm_flowpipe,torch_order1_common_box_raw,0.14159923040393985,0.2831984608078797
0.29,passed,0.01,-0.1433692207852517,4.0,passed,0,29,harmonic,torch_tm_flowpipe,torch_order1_common_box_raw,0.1433692207852517,0.2867384415705034
0.29,passed,0.01,-0.1433692207852517,4.0,passed,1,29,harmonic,torch_tm_flowpipe,torch_order1_common_box_raw,0.1433692207852517,0.2867384415705034
0.3,passed,0.01,-0.14516133604632991,4.0,passed,0,30,harmonic,torch_tm_flowpipe,torch_order1_common_box_raw,0.14516133604632991,0.29032267209265983
0.3,passed,0.01,-0.14516133604632991,4.0,passed,1,30,harmonic,torch_tm_flowpipe,torch_order1_common_box_raw,0.14516133604632991,0.29032267209265983
0.31,passed,0.01,-0.14697585274817163,4.0,passed,0,31,harmonic,torch_tm_flowpipe,torch_order1_common_box_raw,0.14697585274817163,0.29395170549634325
0.31,passed,0.01,-0.14697585274817163,4.0,passed,1,31,harmonic,torch_tm_flowpipe,torch_order1_common_box_raw,0.14697585274817163,0.29395170549634325
0.32,passed,0.01,-0.14881305090878635,4.0,passed,0,32,harmonic,torch_tm_flowpipe,torch_order1_common_box_raw,0.14881305090878635,0.2976261018175727
0.32,passed,0.01,-0.14881305090878635,4.0,passed,1,32,harmonic,torch_tm_flowpipe,torch_order1_common_box_raw,0.14881305090878635,0.2976261018175727
0.33,passed,0.01,-0.15067321404640877,4.0,passed,0,33,harmonic,torch_tm_flowpipe,torch_order1_common_box_raw,0.15067321404640877,0.30134642809281753
0.33,passed,0.01,-0.15067321404640877,4.0,passed,1,33,harmonic,torch_tm_flowpipe,torch_order1_common_box_raw,0.15067321404640877,0.30134642809281753
0.34,passed,0.01,-0.15255662922325147,4.0,passed,0,34,harmonic,torch_tm_flowpipe,torch_order1_common_box_raw,0.15255662922325147,0.30511325844650294
0.34,passed,0.01,-0.15255662922325147,4.0,passed,1,34,harmonic,torch_tm_flowpipe,torch_order1_common_box_raw,0.15255662922325147,0.30511325844650294
0.35000000000000003,passed,0.01,-0.1544635870898047,4.0,passed,0,35,harmonic,torch_tm_flowpipe,torch_order1_common_box_raw,0.1544635870898047,0.3089271741796094
0.35000000000000003,passed,0.01,-0.1544635870898047,4.0,passed,1,35,harmonic,torch_tm_flowpipe,torch_order1_common_box_raw,0.1544635870898047,0.3089271741796094
