accepted_step,canonical_object_sha256,operator,implementation,stage_class,channel,component,lo,hi,lo_hex,hi_hex,width,exact_bernstein_lo,exact_bernstein_hi,exact_local_outward_contained
2,2495083a8be430a6fd47d55a9e814dcf022009690926d1020188f744a117b6e3,X1,Torch,cutoff_payment,endpoint,1,2.882151718027856,2.929036268761628,0x1.70ea58f5851a0p+1,0x1.76eaa91390850p+1,0.046884550733771846,13937565980285890028876069/4835703278458516698824704,3540945496571925283883835/1208925819614629174706176,True
2,2495083a8be430a6fd47d55a9e814dcf022009690926d1020188f744a117b6e3,X2,Flow*,cutoff_payment,endpoint,0,1.5463761512597194,1.5995568289904443,0x1.8bdf4eb4f98f6p+0,0x1.997c8e6c9b801p+0,0.05318067773072488,1869577356083007095932465/1208925819614629174706176,7734982201221894533072593/4835703278458516698824704,True
2,2495083a8be430a6fd47d55a9e814dcf022009690926d1020188f744a117b6e3,X2,Flow*,cutoff_payment,endpoint,1,2.882151718027859,2.9290362687616245,0x1.70ea58f5851a6p+1,0x1.76eaa91390848p+1,0.04688455073376563,13937565980285890028876069/4835703278458516698824704,3540945496571925283883835/1208925819614629174706176,True
2,2495083a8be430a6fd47d55a9e814dcf022009690926d1020188f744a117b6e3,X3,Flow*_diagnostic_cutoff_normal,cutoff_payment,endpoint,0,1.5463761512597194,1.5995568289904443,0x1.8bdf4eb4f98f6p+0,0x1.997c8e6c9b801p+0,0.05318067773072488,1869577356083007095932465/1208925819614629174706176,7734982201221894533072593/4835703278458516698824704,True
2,2495083a8be430a6fd47d55a9e814dcf022009690926d1020188f744a117b6e3,X3,Flow*_diagnostic_cutoff_normal,cutoff_payment,endpoint,1,2.882151718027859,2.9290362687616245,0x1.70ea58f5851a6p+1,0x1.76eaa91390848p+1,0.04688455073376563,13937565980285890028876069/4835703278458516698824704,3540945496571925283883835/1208925819614629174706176,True
3,25927073fd643350a3cbe888cfefa7ba80a060572acbf897f1e1a320e0987628,A,Torch,reporting_endpoint,endpoint,0,1.5812330348370727,1.6420417581229754,0x1.94cbb02bfae4fp+0,0x1.a45cd941cdf52p+0,0.0608087232859027,30587990367353985252138463/19342813113834066795298816,31761706847067461215143711/19342813113834066795298816,True
3,25927073fd643350a3cbe888cfefa7ba80a060572acbf897f1e1a320e0987628,A,Torch,reporting_endpoint,endpoint,1,2.8296820762084183,2.8804774954988686,0x1.6a3305b3b23eap+1,0x1.70b37c90040c6p+1,0.05079541929045028,54735701136370234507549921/19342813113834066795298816,55715675556710021458091713/19342813113834066795298816,True
3,25927073fd643350a3cbe888cfefa7ba80a060572acbf897f1e1a320e0987628,B,Flow*,reporting_endpoint,endpoint,0,1.5812330348370742,1.642041758122974,0x1.94cbb02bfae56p+0,0x1.a45cd941cdf4cp+0,0.06080872328589981,30587990367353985252138463/19342813113834066795298816,31761706847067461215143711/19342813113834066795298816,True
3,25927073fd643350a3cbe888cfefa7ba80a060572acbf897f1e1a320e0987628,B,Flow*,reporting_endpoint,endpoint,1,2.8296820762084214,2.880477495498865,0x1.6a3305b3b23f1p+1,0x1.70b37c90040bep+1,0.05079541929044362,54735701136370234507549921/19342813113834066795298816,55715675556710021458091713/19342813113834066795298816,True
3,25927073fd643350a3cbe888cfefa7ba80a060572acbf897f1e1a320e0987628,C,Torch,reporting_tube,tube,0,1.5425585250777702,1.6420500866648917,0x1.8ae51d9160014p+0,0x1.a45d64fc9ea31p+0,0.09949156158712147,111444432180311343/72057594037927936,1060040532250882629565293866212794396969277468975176635040581180581186175688564831401633083508065313287073964431689238071/645562469521727147413979793000752968582426448207305878207664839135161905504210298657411338320034457858975792993186873344,True
3,25927073fd643350a3cbe888cfefa7ba80a060572acbf897f1e1a320e0987628,C,Torch,reporting_tube,tube,1,2.827239779241525,2.9334292283083285,0x1.69e2fe3ae5744p+1,0x1.777a9be45b7e3p+1,0.10618944906680339,456698234489563537015523741154393346872674237760933206742146289486501728421020456957488955152602698990574331743674088391/161390617380431786853494948250188242145606612051826469551916209783790476376052574664352834580008614464743948248296718336,105522022464620369/36028797018963968,True
3,25927073fd643350a3cbe888cfefa7ba80a060572acbf897f1e1a320e0987628,D,Flow*,reporting_tube,tube,0,1.5425585250777745,1.6420500866648877,0x1.8ae51d9160027p+0,0x1.a45d64fc9ea1fp+0,0.09949156158711325,111444432180311343/72057594037927936,1060040532250882629565293866212794396969277468975176635040581180581186175688564831401633083508065313287073964431689238071/645562469521727147413979793000752968582426448207305878207664839135161905504210298657411338320034457858975792993186873344,True
3,25927073fd643350a3cbe888cfefa7ba80a060572acbf897f1e1a320e0987628,D,Flow*,reporting_tube,tube,1,2.827239779241533,2.9334292283083214,0x1.69e2fe3ae5756p+1,0x1.777a9be45b7d3p+1,0.10618944906678829,456698234489563537015523741154393346872674237760933206742146289486501728421020456957488955152602698990574331743674088391/161390617380431786853494948250188242145606612051826469551916209783790476376052574664352834580008614464743948248296718336,105522022464620369/36028797018963968,True
3,25927073fd643350a3cbe888cfefa7ba80a060572acbf897f1e1a320e0987628,E,Torch,reporting_endpoint,endpoint,0,1.5812330143145414,1.6420417716863276,0x1.94cbafd3d621fp+0,0x1.a45cd97c0f056p+0,0.06080875737178615,30587989970390502008927711/19342813113834066795298816,31761707109420843644748191/19342813113834066795298816,True
3,25927073fd643350a3cbe888cfefa7ba80a060572acbf897f1e1a320e0987628,E,Torch,reporting_endpoint,endpoint,1,2.8296820619328633,2.880477517200108,0x1.6a3305950a2cep+1,0x1.70b37cbe9e6e5p+1,0.050795455267244716,54735700860240851917312673/19342813113834066795298816,55715675976473034879808513/19342813113834066795298816,True
3,25927073fd643350a3cbe888cfefa7ba80a060572acbf897f1e1a320e0987628,E,Torch,reporting_tube,tube,0,1.542558504555239,1.642050100228244,0x1.8ae51d393b3e4p+0,0x1.a45d6536dfb35p+0,0.09949159567300492,467431821469054161515105/302231454903657293676544,1060040541006873624872102868340784274812091230197985203604488681040683036120546065263520987470061153046757523546497730103/645562469521727147413979793000752968582426448207305878207664839135161905504210298657411338320034457858975792993186873344,True
3,25927073fd643350a3cbe888cfefa7ba80a060572acbf897f1e1a320e0987628,E,Torch,reporting_tube,tube,1,2.82723976496597,2.933429250009568,0x1.69e2fe1c3d628p+1,0x1.777a9c12f5e02p+1,0.10618948504359782,456698232185622984478055993406907460855673313029978365425892475812809299091074344515424359343894449703508385091226483655/161390617380431786853494948250188242145606612051826469551916209783790476376052574664352834580008614464743948248296718336,221295722095422807267669/75557863725914323419136,True
3,25927073fd643350a3cbe888cfefa7ba80a060572acbf897f1e1a320e0987628,F,Flow*,reporting_endpoint,endpoint,0,1.581233014314543,1.642041771686326,0x1.94cbafd3d6226p+0,0x1.a45cd97c0f04fp+0,0.06080875737178304,30587989970390502008927711/19342813113834066795298816,31761707109420843644748191/19342813113834066795298816,True
3,25927073fd643350a3cbe888cfefa7ba80a060572acbf897f1e1a320e0987628,F,Flow*,reporting_endpoint,endpoint,1,2.829682061932867,2.8804775172001045,0x1.6a3305950a2d6p+1,0x1.70b37cbe9e6ddp+1,0.05079545526723761,54735700860240851917312673/19342813113834066795298816,55715675976473034879808513/19342813113834066795298816,True
3,25927073fd643350a3cbe888cfefa7ba80a060572acbf897f1e1a320e0987628,F,Flow*,reporting_tube,tube,0,1.5425585045552432,1.6420501002282397,0x1.8ae51d393b3f7p+0,0x1.a45d6536dfb22p+0,0.09949159567299648,467431821469054161515105/302231454903657293676544,1060040541006873624872102868340784274812091230197985203604488681040683036120546065263520987470061153046757523546497730103/645562469521727147413979793000752968582426448207305878207664839135161905504210298657411338320034457858975792993186873344,True
3,25927073fd643350a3cbe888cfefa7ba80a060572acbf897f1e1a320e0987628,F,Flow*,reporting_tube,tube,1,2.8272397649659786,2.933429250009561,0x1.69e2fe1c3d63bp+1,0x1.777a9c12f5df2p+1,0.10618948504358228,456698232185622984478055993406907460855673313029978365425892475812809299091074344515424359343894449703508385091226483655/161390617380431786853494948250188242145606612051826469551916209783790476376052574664352834580008614464743948248296718336,221295722095422807267669/75557863725914323419136,True
3,25927073fd643350a3cbe888cfefa7ba80a060572acbf897f1e1a320e0987628,G,Torch,boundary_normalization,boundary,0,-0.02977098163179515,0.029860292107471813,-0x1.e7c48c1e9dba1p-6,0x1.e93b24833d00ep-6,0.059631273739266966,-142585839085737240156395/4835703278458516698824704,144395264960262638331749/4835703278458516698824704,True
3,25927073fd643350a3cbe888cfefa7ba80a060572acbf897f1e1a320e0987628,G,Torch,boundary_normalization,boundary,1,-0.02489482158001378,0.024803001052581392,-0x1.97e07321a8943p-6,0x1.965f5397436e5p-6,0.04969782263259517,-238806517784432125658621/9671406556917033397649408,238973079952006593776323/9671406556917033397649408,True
3,25927073fd643350a3cbe888cfefa7ba80a060572acbf897f1e1a320e0987628,H,Flow*,boundary_normalization,boundary,0,-0.0297709816317951,0.029860292107471768,-0x1.e7c48c1e9db93p-6,0x1.e93b24833d001p-6,0.05963127373926687,-142585839085737164219565/4835703278458516698824704,144395264960262562394947/4835703278458516698824704,True
3,25927073fd643350a3cbe888cfefa7ba80a060572acbf897f1e1a320e0987628,H,Flow*,boundary_normalization,boundary,1,-0.024894821580013726,0.024803001052581337,-0x1.97e07321a8933p-6,0x1.965f5397436d5p-6,0.04969782263259506,-238806517784431957210493/9671406556917033397649408,238973079952006425262659/9671406556917033397649408,True
