plant,view,range_kind,state,comparison,scope,selection,requested_time,actual_time,ratio,numerator_width,denominator_width,numerator_lo,numerator_hi,denominator_lo,denominator_hi,absolute_width_difference,reason
brusselator,common,endpoint,x,strict_vs_ours,DIAGNOSTIC_ONLY,maximum_ratio_in_observed_prefix,,0.02,1.0000246171506997,0.046096055565520766,0.04609492083990796,1.512703096496522,1.5587991520620428,1.5127036632418815,1.5587985840817895,1.1347256128058092e-06,
brusselator,common,endpoint,x,strict_vs_flowstar,DIAGNOSTIC_ONLY,specified_checkpoint,1,1.0,,,0.03215035158473567,,,1.9524671970938487,1.9846175486785844,,missing_or_stopped
brusselator,common,endpoint,x,strict_vs_flowstar,DIAGNOSTIC_ONLY,specified_checkpoint,5,5.0,,,0.0014800499804472622,,,0.4261118872333498,0.42759193721379707,,missing_or_stopped
brusselator,common,endpoint,x,strict_vs_flowstar,DIAGNOSTIC_ONLY,specified_checkpoint,10,10.0,,,0.003334050613514883,,,0.41190019067408556,0.41523424128760045,,missing_or_stopped
brusselator,common,endpoint,x,strict_vs_flowstar,DIAGNOSTIC_ONLY,specified_checkpoint,15,15.0,,,0.05788744739282059,,,2.638514612696639,2.6964020600894596,,missing_or_stopped
brusselator,common,endpoint,x,strict_vs_flowstar,DIAGNOSTIC_ONLY,specified_checkpoint,20,20.0,,,0.0035160556926975284,,,0.49687693419680246,0.5003929898895,,missing_or_stopped
brusselator,common,endpoint,x,strict_vs_flowstar,DIAGNOSTIC_ONLY,maximum_ratio_in_observed_prefix,,0.04,1.0046016926146022,0.0528844875952621,0.052642244169053276,1.546515402913804,1.599399890509066,1.5466563550806873,1.5992985992497406,0.00024224342620882133,
brusselator,common,endpoint,x,strict_vs_parity,DIAGNOSTIC_ONLY,specified_checkpoint,1,1.0,,,,,,,,,missing_or_stopped
brusselator,common,endpoint,x,strict_vs_parity,DIAGNOSTIC_ONLY,specified_checkpoint,5,5.0,,,,,,,,,missing_or_stopped
brusselator,common,endpoint,x,strict_vs_parity,DIAGNOSTIC_ONLY,specified_checkpoint,10,10.0,,,,,,,,,missing_or_stopped
