plant,view,range_kind,state,t_start,t_end,t_start_exact,t_end_exact,duration,candidate_eligible,ours_lo,ours_hi,ours_width,ours_missing_reason,flowstar_lo,flowstar_hi,flowstar_width,flowstar_missing_reason,strict_lo,strict_hi,strict_width,strict_missing_reason,parity_lo,parity_hi,parity_width,parity_missing_reason,strict_vs_ours,strict_vs_ours_absolute_width_difference,strict_vs_ours_lower_shift,strict_vs_ours_upper_shift,strict_vs_ours_center_shift,strict_vs_ours_disjoint,strict_vs_flowstar,strict_vs_flowstar_absolute_width_difference,strict_vs_flowstar_lower_shift,strict_vs_flowstar_upper_shift,strict_vs_flowstar_center_shift,strict_vs_flowstar_disjoint,strict_vs_parity,strict_vs_parity_absolute_width_difference,strict_vs_parity_lower_shift,strict_vs_parity_upper_shift,strict_vs_parity_center_shift,strict_vs_parity_disjoint,ours_vs_flowstar,ours_vs_flowstar_absolute_width_difference,ours_vs_flowstar_lower_shift,ours_vs_flowstar_upper_shift,ours_vs_flowstar_center_shift,ours_vs_flowstar_disjoint
brusselator,published,endpoint,y,2.4,2.42,86469112845513525/36028797018963968,697517510287142435/288230376151711744,0.02,False,2.636663014174033,2.654489858724495,0.017826844550461907,,2.636528655729115,2.65446919418257,0.017940538453455,,,,,correctness_gate_stopped_long_run,,,,correctness_gate_stopped_long_run,,,,,,,,,,,,,,,,,,,0.9936627374207266,-0.00011369390299309501,0.0001343584449178259,2.0664541924730884e-05,7.751149342127839e-05,False
brusselator,published,tube,x,2.4,2.42,86469112845513525/36028797018963968,697517510287142435/288230376151711744,0.02,False,0.5411118988125556,0.5619114243143479,0.020799525501792315,,0.5414604072839485,0.5618917786214763,0.020431371337527815,,,,,correctness_gate_stopped_long_run,,,,correctness_gate_stopped_long_run,,,,,,,,,,,,,,,,,,,1.0180190628510717,0.0003681541642645003,-0.0003485084713928943,1.9645692871606002e-05,-0.00016443138926064416,False
brusselator,published,tube,y,2.4,2.42,86469112845513525/36028797018963968,697517510287142435/288230376151711744,0.02,False,2.6194443962695364,2.6546599059538463,0.035215509684309865,,2.619420754832847,2.6545285244036934,0.03510776957084616,,,,,correctness_gate_stopped_long_run,,,,correctness_gate_stopped_long_run,,,,,,,,,,,,,,,,,,,1.0030688395982061,0.00010774011346370571,2.3641436689203488e-05,0.0001313815501529092,7.751149342105634e-05,False
brusselator,common,endpoint,x,2.4,2.42,86469112845513525/36028797018963968,697517510287142435/288230376151711744,0.02,False,0.5415170984205577,0.5534279060807274,0.01191080766016972,,0.5416019258750653,0.5536719414047411,0.012070015529675793,,,,,correctness_gate_stopped_long_run,,,,correctness_gate_stopped_long_run,,,,,,,,,,,,,,,,,,,0.986809638387404,-0.0001592078695060728,-8.482745450755225e-05,-0.00024403532401362504,-0.00016443138926058865,False
brusselator,common,endpoint,y,2.4,2.42,86469112845513525/36028797018963968,697517510287142435/288230376151711744,0.02,False,2.6366630141740375,2.654489858724491,0.01782684455045347,,2.636528655729128,2.654469194182557,0.0179405384534288,,,,,correctness_gate_stopped_long_run,,,,correctness_gate_stopped_long_run,,,,,,,,,,,,,,,,,,,0.9936627374217075,-0.00011369390297533144,0.0001343584449093882,2.0664541934056757e-05,7.751149342194452e-05,False
brusselator,common,tube,x,2.4,2.42,86469112845513525/36028797018963968,697517510287142435/288230376151711744,0.02,False,0.5411118988125598,0.5619114243143436,0.020799525501783767,,0.5414604072839512,0.5618917786214739,0.020431371337522708,,,,,correctness_gate_stopped_long_run,,,,correctness_gate_stopped_long_run,,,,,,,,,,,,,,,,,,,1.0180190628509078,0.0003681541642610586,-0.00034850847139134,1.9645692869718623e-05,-0.0001644313892608662,False
brusselator,common,tube,y,2.4,2.42,86469112845513525/36028797018963968,697517510287142435/288230376151711744,0.02,False,2.619444396269553,2.6546599059538294,0.03521550968427656,,2.6194207548328596,2.654528524403681,0.03510776957082129,,,,,correctness_gate_stopped_long_run,,,,correctness_gate_stopped_long_run,,,,,,,,,,,,,,,,,,,1.0030688395979679,0.00010774011345526802,2.364143669320029e-05,0.0001313815501484683,7.751149342061225e-05,False
brusselator,published,endpoint,x,2.42,2.44,697517510287142435/288230376151711744,351641058905088335/144115188075855872,0.02,False,0.5338494343614667,0.5454928756932088,0.01164344133174211,,0.5339288280527047,0.5457350417263496,0.011806213673644872,,,,,correctness_gate_stopped_long_run,,,,correctness_gate_stopped_long_run,,,,,,,,,,,,,,,,,,,0.9862129937334507,-0.00016277234190276157,-7.939369123799445e-05,-0.00024216603314075602,-0.00016077986218937523,False
brusselator,published,endpoint,y,2.42,2.44,697517510287142435/288230376151711744,351641058905088335/144115188075855872,0.02,False,2.653652003939397,2.6713616406321687,0.017709636692771813,,2.6535223635209495,2.6713370201349096,0.01781465661396009,,,,,correctness_gate_stopped_long_run,,,,correctness_gate_stopped_long_run,,,,,,,,,,,,,,,,,,,0.9941048585182395,-0.0001050199211882763,0.0001296404184474298,2.4620497259153495e-05,7.713045785351369e-05,False
brusselator,published,tube,x,2.42,2.44,697517510287142435/288230376151711744,351641058905088335/144115188075855872,0.02,False,0.5334475050111135,0.5536961173252695,0.020248612314155978,,0.5337903221811868,0.5536748598795749,0.01988453769838805,,,,,correctness_gate_stopped_long_run,,,,correctness_gate_stopped_long_run,,,,,,,,,,,,,,,,,,,1.0183094332536302,0.00036407461576792866,-0.00034281717007333956,2.1257445694589094e-05,-0.00016077986218931972,False
