plant,step,t_end_exact,view,kind,component,reference_lo_hex,reference_hi_hex,optimized_lo_hex,optimized_hi_hex,bit_identical,width_ratio
brusselator,15,86469112845513525/288230376151711744,published,endpoint,x,0x1.06f4bb9342faap+1,0x1.1d809f5c30447p+1,0x1.06f4bb9342faap+1,0x1.1d809f5c30447p+1,True,1.0
brusselator,15,86469112845513525/288230376151711744,published,endpoint,y,0x1.07ce9e79487fdp+1,0x1.159b1472532e9p+1,0x1.07ce9e79487fdp+1,0x1.159b1472532e9p+1,True,1.0
brusselator,15,86469112845513525/288230376151711744,published,tube,x,0x1.014405b9b621fp+1,0x1.1d9f0a9df3457p+1,0x1.014405b9b621fp+1,0x1.1d9f0a9df3457p+1,True,1.0
brusselator,15,86469112845513525/288230376151711744,published,tube,y,0x1.06a08bd898332p+1,0x1.1f39dfbf41a78p+1,0x1.06a08bd898332p+1,0x1.1f39dfbf41a78p+1,True,1.0
brusselator,15,86469112845513525/288230376151711744,common,endpoint,x,0x1.06f4bb9342fb8p+1,0x1.1d809f5c3043ap+1,0x1.06f4bb9342fb8p+1,0x1.1d809f5c3043ap+1,True,1.0
brusselator,15,86469112845513525/288230376151711744,common,endpoint,y,0x1.07ce9e7948809p+1,0x1.159b1472532dcp+1,0x1.07ce9e7948809p+1,0x1.159b1472532dcp+1,True,1.0
brusselator,15,86469112845513525/288230376151711744,common,tube,x,0x1.014405b9b6244p+1,0x1.1d9f0a9df3431p+1,0x1.014405b9b6244p+1,0x1.1d9f0a9df3431p+1,True,1.0
brusselator,15,86469112845513525/288230376151711744,common,tube,y,0x1.06a08bd89835ap+1,0x1.1f39dfbf41a4fp+1,0x1.06a08bd89835ap+1,0x1.1f39dfbf41a4fp+1,True,1.0
brusselator,16,5764607523034235/18014398509481984,published,endpoint,x,0x1.0bcaff1b45011p+1,0x1.2360717e9334ep+1,0x1.0bcaff1b45011p+1,0x1.2360717e9334ep+1,True,1.0
brusselator,16,5764607523034235/18014398509481984,published,endpoint,y,0x1.fdd022fa9558cp+0,0x1.0dd6b18134935p+1,0x1.fdd022fa9558cp+0,0x1.0dd6b18134935p+1,True,1.0
brusselator,16,5764607523034235/18014398509481984,published,tube,x,0x1.0647caf8b0ebbp+1,0x1.2388d16ffc0f3p+1,0x1.0647caf8b0ebbp+1,0x1.2388d16ffc0f3p+1,True,1.0
brusselator,16,5764607523034235/18014398509481984,published,tube,y,0x1.fb0eb3860b110p+0,0x1.178ca9ff8c2f3p+1,0x1.fb0eb3860b110p+0,0x1.178ca9ff8c2f3p+1,True,1.0
brusselator,16,5764607523034235/18014398509481984,common,endpoint,x,0x1.0bcaff1b4501fp+1,0x1.2360717e93342p+1,0x1.0bcaff1b4501fp+1,0x1.2360717e93342p+1,True,1.0
brusselator,16,5764607523034235/18014398509481984,common,endpoint,y,0x1.fdd022fa9559cp+0,0x1.0dd6b18134928p+1,0x1.fdd022fa9559cp+0,0x1.0dd6b18134928p+1,True,1.0
brusselator,16,5764607523034235/18014398509481984,common,tube,x,0x1.0647caf8b0ee1p+1,0x1.2388d16ffc0cep+1,0x1.0647caf8b0ee1p+1,0x1.2388d16ffc0cep+1,True,1.0
brusselator,16,5764607523034235/18014398509481984,common,tube,y,0x1.fb0eb3860b140p+0,0x1.178ca9ff8c2c9p+1,0x1.fb0eb3860b140p+0,0x1.178ca9ff8c2c9p+1,True,1.0
