window,plant,step,history_before,replay_calls,category,exclusive_seconds,inclusive_seconds_diagnostic_only,calls
brusselator_0001_0020,brusselator,19,18,7,polynomial_multiply_truncate_range,0.274015880189836,0.274015880189836,166
brusselator_0001_0020,brusselator,19,18,7,candidate_polynomial,0.026637133676558733,0.2058835900388658,1
brusselator_0001_0020,brusselator,19,18,7,initial_remainder,0.01026162039488554,0.07439130963757634,1
brusselator_0001_0020,brusselator,19,18,7,refinement_fixed_polynomial,0.4468085654079914,0.4468085654079914,273
brusselator_0001_0020,brusselator,19,18,7,refinement_dynamic,0.07352897245436907,1.039153237361461,8
brusselator_0001_0020,brusselator,19,18,7,boundary_endpoint,0.12159961694851518,1.129053276963532,2
brusselator_0001_0020,brusselator,19,18,7,cross_step_history,1.0074536600150168,1.0074536600150168,2
brusselator_0001_0020,brusselator,19,18,7,python_tensor_dispatch_and_other,0.03854097053408623,0.03854097053408623,1
brusselator_0001_0020,brusselator,20,19,7,polynomial_multiply_truncate_range,0.2738916790112853,0.2738916790112853,166
brusselator_0001_0020,brusselator,20,19,7,candidate_polynomial,0.026592496316879988,0.20617906702682376,1
brusselator_0001_0020,brusselator,20,19,7,initial_remainder,0.010203827172517776,0.07463714526966214,1
brusselator_0001_0020,brusselator,20,19,7,refinement_fixed_polynomial,0.4493790250271559,0.4493790250271559,273
brusselator_0001_0020,brusselator,20,19,7,refinement_dynamic,0.0742465597577393,1.0455455901101232,8
brusselator_0001_0020,brusselator,20,19,7,boundary_endpoint,0.12071954226121306,1.1665908661670983,2
brusselator_0001_0020,brusselator,20,19,7,cross_step_history,1.0458713239058852,1.0458713239058852,2
brusselator_0001_0020,brusselator,20,19,7,python_tensor_dispatch_and_other,0.03763548983260989,0.03763548983260989,1
brusselator_0101_0120,brusselator,101,100,9,polynomial_multiply_truncate_range,0.27868387196213007,0.27868387196213007,166
brusselator_0101_0120,brusselator,101,100,9,candidate_polynomial,0.02719772979617119,0.21000659931451082,1
brusselator_0101_0120,brusselator,101,100,9,initial_remainder,0.01042274059727788,0.07608272600919008,1
brusselator_0101_0120,brusselator,101,100,9,refinement_fixed_polynomial,0.5826113754883409,0.5826113754883409,351
brusselator_0101_0120,brusselator,101,100,9,refinement_dynamic,0.09613965265452862,1.3555091731250286,10
brusselator_0101_0120,brusselator,101,100,9,boundary_endpoint,0.17949290527030826,0.8700860110111535,2
brusselator_0101_0120,brusselator,101,100,9,cross_step_history,0.6905931057408452,0.6905931057408452,2
brusselator_0101_0120,brusselator,101,100,9,python_tensor_dispatch_and_other,0.038302257657051086,0.038302257657051086,1
brusselator_0101_0120,brusselator,102,101,9,polynomial_multiply_truncate_range,0.2763622058555484,0.2763622058555484,166
brusselator_0101_0120,brusselator,102,101,9,candidate_polynomial,0.027079383842647076,0.20877477806061506,1
brusselator_0101_0120,brusselator,102,101,9,initial_remainder,0.010375205427408218,0.07493231073021889,1
brusselator_0101_0120,brusselator,102,101,9,refinement_fixed_polynomial,0.5759419542737305,0.5759419542737305,351
brusselator_0101_0120,brusselator,102,101,9,refinement_dynamic,0.09400522382929921,1.3379040258005261,10
brusselator_0101_0120,brusselator,102,101,9,boundary_endpoint,0.13053936697542667,0.8169802990742028,2
brusselator_0101_0120,brusselator,102,101,9,cross_step_history,0.6864409320987761,0.6864409320987761,2
brusselator_0101_0120,brusselator,102,101,9,python_tensor_dispatch_and_other,0.03577144630253315,0.03577144630253315,1
brusselator_0101_0120,brusselator,103,102,9,polynomial_multiply_truncate_range,0.2728399522602558,0.2728399522602558,166
brusselator_0101_0120,brusselator,103,102,9,candidate_polynomial,0.02661021938547492,0.20508949691429734,1
brusselator_0101_0120,brusselator,103,102,9,initial_remainder,0.010299245361238718,0.07485997397452593,1
brusselator_0101_0120,brusselator,103,102,9,refinement_fixed_polynomial,0.5764165688306093,0.5764165688306093,351
brusselator_0101_0120,brusselator,103,102,9,refinement_dynamic,0.09557029604911804,1.3420074093155563,10
brusselator_0101_0120,brusselator,103,102,9,boundary_endpoint,0.13307909248396754,0.8365050442516804,2
brusselator_0101_0120,brusselator,103,102,9,cross_step_history,0.7034259517677128,0.7034259517677128,2
brusselator_0101_0120,brusselator,103,102,9,python_tensor_dispatch_and_other,0.036378588527441025,0.036378588527441025,1
brusselator_0101_0120,brusselator,104,103,9,polynomial_multiply_truncate_range,0.27467003697529435,0.27467003697529435,166
brusselator_0101_0120,brusselator,104,103,9,candidate_polynomial,0.02694267826154828,0.20702253002673388,1
brusselator_0101_0120,brusselator,104,103,9,initial_remainder,0.010341838467866182,0.07464518304914236,1
brusselator_0101_0120,brusselator,104,103,9,refinement_fixed_polynomial,0.5746182040311396,0.5746182040311396,351
brusselator_0101_0120,brusselator,104,103,9,refinement_dynamic,0.09464353090152144,1.3364892890676856,10
