analytic_reference_contained,basis,carry,directed_rounding_or_mpfr,endpoint_evaluation_path,excluded_from_authoritative,floating_point_enclosure_candidate,h,horizon,interval_kind,lower,message,native_validation_passed,order,polynomial_width,protocol,remainder_width,runtime_s,state_index,step_index,system,time,tool,upper,variant,width
True,complete_total_degree_2,native_Flowpipe_tmvPre_tmv_composition,True,,,False,0.01,1.0,endpoint_raw,-0.002658531864522921,,True,2,0.11032991540698911,native_low_order,0.002959025629593259,0.000104,0,96,riccati,0.9600000000000006,flowstar,0.11063040917205945,root_cause_fixed_order_2,0.11328894103658237
True,complete_total_degree_2,native_Flowpipe_tmvPre_tmv_composition,True,,,False,0.01,1.0,endpoint_raw,-0.0026890620930839063,,True,2,0.11044580817374085,native_low_order,0.0029963110009573616,0.000107,0,97,riccati,0.9700000000000006,flowstar,0.11075305708161431,root_cause_fixed_order_2,0.11344211917469822
True,complete_total_degree_2,native_Flowpipe_tmvPre_tmv_composition,True,,,False,0.01,1.0,endpoint_raw,-0.0027196553811012557,,True,2,0.11056188364057859,native_low_order,0.003033749135946436,0.000104,0,98,riccati,0.9800000000000006,flowstar,0.11087597739542378,root_cause_fixed_order_2,0.11359563277652503
True,complete_total_degree_2,native_Flowpipe_tmvPre_tmv_composition,True,,,False,0.01,1.0,endpoint_raw,-0.0027503118780338102,,True,2,0.11067814219172956,native_low_order,0.0030713407086819843,0.000103,0,99,riccati,0.9900000000000007,flowstar,0.11099917102237775,root_cause_fixed_order_2,0.11374948290041155
True,complete_total_degree_2,native_Flowpipe_tmvPre_tmv_composition,True,,,False,0.01,1.0,endpoint_raw,-0.002781031733765081,,True,2,0.11079458421243157,native_low_order,0.0031090863967486427,0.000104,0,100,riccati,1.0000000000000007,flowstar,0.11112263887541515,root_cause_fixed_order_2,0.11390367060918023
True,complete_total_degree_3,native_Flowpipe_tmvPre_tmv_composition,True,,,False,0.01,1.0,endpoint_raw,-5.00251073565047e-05,,True,3,0.10015007500000002,native_practical,1.0049673665711568e-07,0.000207,0,1,riccati,0.01,flowstar,0.10010015038938018,root_cause_fixed_order_3,0.10015017549673669
True,complete_total_degree_3,native_Flowpipe_tmvPre_tmv_composition,True,,,False,0.01,1.0,endpoint_raw,-0.00010020050319901002,,True,3,0.10030045045035024,native_practical,2.517231498016667e-07,0.000189,0,2,riccati,0.02,flowstar,0.10020050167030103,root_cause_fixed_order_3,0.10030070217350004
True,complete_total_degree_3,native_Flowpipe_tmvPre_tmv_composition,True,,,False,0.01,1.0,endpoint_raw,-0.00015052670850318836,,True,3,0.1004511771909172,native_practical,4.0396562346609914e-07,0.000197,0,3,riccati,0.03,flowstar,0.1003010544480375,root_cause_fixed_order_3,0.10045158115654068
True,complete_total_degree_3,native_Flowpipe_tmvPre_tmv_composition,True,,,False,0.01,1.0,endpoint_raw,-0.00020100424017944473,,True,3,0.1006022562772936,native_practical,5.572931850156209e-07,0.000202,0,4,riccati,0.04,flowstar,0.10040180933029919,root_cause_fixed_order_3,0.10060281357047864
True,complete_total_degree_3,native_Flowpipe_tmvPre_tmv_composition,True,,,False,0.01,1.0,endpoint_raw,-0.0002516335925842388,,True,3,0.10075368876885013,native_practical,7.117509767213152e-07,0.000204,0,5,riccati,0.05,flowstar,0.10050276692724262,root_cause_fixed_order_3,0.10075440051982686
True,complete_total_degree_3,native_Flowpipe_tmvPre_tmv_composition,True,,,False,0.01,1.0,endpoint_raw,-0.00030241526152218785,,True,3,0.10090547572875118,native_practical,8.673842546058522e-07,0.000202,0,6,riccati,0.060000000000000005,flowstar,0.1006039278514836,root_cause_fixed_order_3,0.1009063431130058
True,complete_total_degree_3,native_Flowpipe_tmvPre_tmv_composition,True,,,False,0.01,1.0,endpoint_raw,-0.0003533497446989166,,True,3,0.10105761822397047,native_practical,1.0242388380810805e-06,0.000203,0,7,riccati,0.07,flowstar,0.10070529271810964,root_cause_fixed_order_3,0.10105864246280856
True,complete_total_degree_3,native_Flowpipe_tmvPre_tmv_composition,True,,,False,0.01,1.0,endpoint_raw,-0.000404437541729679,,True,3,0.1012101173253066,native_practical,1.1823611154443814e-06,0.0002,0,8,riccati,0.08,flowstar,0.10080686214469238,root_cause_fixed_order_3,0.10121129968642206
True,complete_total_degree_3,native_Flowpipe_tmvPre_tmv_composition,True,,,False,0.01,1.0,endpoint_raw,-0.0004556791541481371,,True,3,0.10136297410739885,native_practical,1.3417980494256495e-06,0.0002,0,9,riccati,0.09,flowstar,0.10090863675130014,root_cause_fixed_order_3,0.10136431590544828
True,complete_total_degree_3,native_Flowpipe_tmvPre_tmv_composition,True,,,False,0.01,1.0,endpoint_raw,-0.000507075085415145,,True,3,0.10151618964874298,native_practical,1.5025971827853632e-06,0.000209,0,10,riccati,0.09999999999999999,flowstar,0.10101061716051064,root_cause_fixed_order_3,0.10151769224592579
True,complete_total_degree_3,native_Flowpipe_tmvPre_tmv_composition,True,,,False,0.01,1.0,endpoint_raw,-0.0005586258409276213,,True,3,0.10166976503170724,native_practical,1.6648066439642242e-06,0.000201,0,11,riccati,0.10999999999999999,flowstar,0.1011128039974236,root_cause_fixed_order_3,0.10167142983835123
True,complete_total_degree_3,native_Flowpipe_tmvPre_tmv_composition,True,,,False,0.01,1.0,endpoint_raw,-0.0006103319280273431,,True,3,0.10182370134254816,native_practical,1.8284751527848487e-06,0.0002,0,12,riccati,0.11999999999999998,flowstar,0.1012151978896736,root_cause_fixed_order_3,0.10182552981770095
True,complete_total_degree_3,native_Flowpipe_tmvPre_tmv_composition,True,,,False,0.01,1.0,endpoint_raw,-0.0006621938560099683,,True,3,0.10197799967142673,native_practical,1.9936520262059945e-06,0.000202,0,13,riccati,0.12999999999999998,flowstar,0.10131779946744299,root_cause_fixed_order_3,0.10197999332345295
True,complete_total_degree_3,native_Flowpipe_tmvPre_tmv_composition,True,,,False,0.01,1.0,endpoint_raw,-0.0007142121361339367,,True,3,0.10213266111242442,native_practical,2.1603871841298114e-06,0.000201,0,14,riccati,0.13999999999999999,flowstar,0.10142060936347462,root_cause_fixed_order_3,0.10213482149960856
