analytic_reference_contained,basis,carried_basis,carried_max_degree,carry_contract,compile_time_s,directed_rounding_or_mpfr,exact_reference_contained,failure_category,first_call_time_s,floating_point_enclosure_candidate,h,horizon,interval_kind,local_construction_basis,local_construction_order,lower,max_degree,message,mode,monomial_families,native_validation_passed,number_of_discarded_candidates,number_of_retained_coefficients,number_of_steps,numerical_backend,polynomial_width,projection_method,protocol,python_orchestration_time_s,remainder_estimation,remainder_width,reset_method,runtime_s,sampled_trajectory_contained,state_index,steady_step_time_s,step_index,successful_horizon,system,term_count,time,tool,trajectory_sanity_passed,upper,validation_failed,validation_trace_count,validator,variant,width
,,,,none_one_step,1.7340533160604537,True,,,,False,0.05,0.05,tube,,,-0.10512719299807945,4,,,"{""affine_state"": 1, ""time_state"": 1, ""time_state_higher"": 2}",True,,,,,0.21025416666666694,,one_step_common_input,,,2.1932949218750104e-07,,1.905579905025661,,1,,1,,harmonic,4,0.05,flowstar,,0.10512719299807945,,67,,flowstar_root_cause_patch,0.2102543859961589
True,,,,none_one_step,1.7340533160604537,True,,,,False,0.05,0.05,endpoint_raw,,,-0.10512719299807945,1,,,"{""affine_state"": 2}",True,,,,,0.2097458333333335,,one_step_common_input,,,0.0005085526628255204,,1.905579905025661,,0,,1,,harmonic,2,0.05,flowstar,,0.10512719299807945,,67,,flowstar_root_cause_patch,0.2102543859961589
True,,,,none_one_step,1.7340533160604537,True,,,,False,0.05,0.05,endpoint_raw,,,-0.10512719299807945,1,,,"{""affine_state"": 2}",True,,,,,0.20974583333333352,,one_step_common_input,,,0.0005085526628255204,,1.905579905025661,,1,,1,,harmonic,2,0.05,flowstar,,0.10512719299807945,,67,,flowstar_root_cause_patch,0.2102543859961589
,,,,none_one_step,1.8351782942190766,True,,,,False,0.0025,0.0025,tube,,,0.0799989467745113,2,,,"{""affine_state"": 1, ""constant"": 1, ""time_only"": 2, ""time_state"": 2}",True,,,,,0.04008004687500026,,one_step_common_input,,,2.1068468972589232e-06,,2.0070618391036987,,0,,1,,coupled_quadratic,6,0.0025,flowstar,,0.12006605362140857,,49,,flowstar_root_cause_patch,0.040067106846897266
,,,,none_one_step,1.8351782942190766,True,,,,False,0.0025,0.0025,tube,,,0.1794648309048541,2,,,"{""affine_state"": 1, ""constant"": 1, ""time_only"": 2, ""time_state"": 2}",True,,,,,0.040595606250000554,,one_step_common_input,,,1.3341631039914071e-06,,2.0070618391036987,,1,,1,,coupled_quadratic,6,0.0025,flowstar,,0.2200011650679581,,49,,flowstar_root_cause_patch,0.04053633416310401
,,,,none_one_step,1.8351782942190766,True,,,,False,0.0025,0.0025,endpoint_raw,,,0.08003389989951128,1,,,"{""affine_state"": 2, ""constant"": 1}",True,,,,,0.04003000000000015,,one_step_common_input,,,2.1068468972589232e-06,,2.0070618391036987,,0,,1,,coupled_quadratic,3,0.0025,flowstar,,0.12006600674640856,,49,,flowstar_root_cause_patch,0.040032106846897286
,,,,none_one_step,1.8351782942190766,True,,,,False,0.0025,0.0025,endpoint_raw,,,0.1794654371548541,1,,,"{""affine_state"": 2, ""constant"": 1}",True,,,,,0.03992000000000029,,one_step_common_input,,,0.0002013341631039694,,2.0070618391036987,,1,,1,,coupled_quadratic,3,0.0025,flowstar,,0.21958677131795812,,49,,flowstar_root_cause_patch,0.04012133416310401
,,,,none_one_step,1.7275918661616743,True,,,,False,0.0025,0.0025,tube,,,0.07999999989759911,4,,,"{""affine_state"": 1, ""constant"": 1, ""time_only"": 4, ""time_state"": 2, ""time_state_higher"": 8}",True,,,,,0.0400820726574002,,one_step_common_input,,,2.0404002348126122e-10,,1.901785220950842,,0,,1,,coupled_quadratic,16,0.0025,flowstar,,0.12006600010163913,,69,,flowstar_root_cause_patch,0.040066000204040025
,,,,none_one_step,1.7275918661616743,True,,,,False,0.0025,0.0025,tube,,,0.17946399989706147,4,,,"{""affine_state"": 1, ""constant"": 1, ""time_only"": 4, ""time_state"": 2, ""time_state_higher"": 7}",True,,,,,0.04059675112625788,,one_step_common_input,,,2.0754881858235066e-10,,1.901785220950842,,1,,1,,coupled_quadratic,15,0.0025,flowstar,,0.2200000001046103,,69,,flowstar_root_cause_patch,0.04053600020754883
,,,,none_one_step,1.7275918661616743,True,,,,False,0.0025,0.0025,endpoint_raw,,,0.08003393991577998,2,,,"{""affine_state"": 2, ""constant"": 1, ""state_state"": 3}",True,,,,,0.040031975258854394,,one_step_common_input,,,5.070466498307422e-08,,1.901785220950842,,0,,1,,coupled_quadratic,6,0.0025,flowstar,,0.12006596637929917,,69,,flowstar_root_cause_patch,0.040032026463519194
,,,,none_one_step,1.7275918661616743,True,,,,False,0.0025,0.0025,endpoint_raw,,,0.17946453307894322,2,,,"{""affine_state"": 2, ""constant"": 1, ""state_state"": 2}",True,,,,,0.03992111265166706,,one_step_common_input,,,0.00020003342088215794,,1.901785220950842,,1,,1,,coupled_quadratic,5,0.0025,flowstar,,0.21958667840149207,,69,,flowstar_root_cause_patch,0.04012214532254885
,,,,none_one_step,1.8443923499435186,True,,,,False,0.005,0.005,tube,,,0.07999778638999476,2,,,"{""affine_state"": 1, ""constant"": 1, ""time_only"": 2, ""time_state"": 2}",True,,,,,0.04016018750000026,,one_step_common_input,,,4.429184669446219e-06,,2.0162396682426333,,0,,1,,coupled_quadratic,6,0.005,flowstar,,0.1201322155746642,,49,,flowstar_root_cause_patch,0.040134429184669446
,,,,none_one_step,1.8443923499435186,True,,,,False,0.005,0.005,tube,,,0.1789293156284508,2,,,"{""affine_state"": 1, ""constant"": 1, ""time_only"": 2, ""time_state"": 2}",True,,,,,0.041192425000000504,,one_step_common_input,,,3.3465564946976835e-06,,2.0162396682426333,,1,,1,,coupled_quadratic,6,0.005,flowstar,,0.22000266218494552,,49,,flowstar_root_cause_patch,0.04107334655649472
,,,,none_one_step,1.8443923499435186,True,,,,False,0.005,0.005,endpoint_raw,,,0.08006759888999475,1,,,"{""affine_state"": 2, ""constant"": 1}",True,,,,,0.04006000000000012,,one_step_common_input,,,4.429184669446219e-06,,2.0162396682426333,,0,,1,,coupled_quadratic,3,0.005,flowstar,,0.12013202807466422,,49,,flowstar_root_cause_patch,0.04006442918466947
,,,,none_one_step,1.8443923499435186,True,,,,False,0.005,0.005,endpoint_raw,,,0.1789317406284508,1,,,"{""affine_state"": 2, ""constant"": 1}",True,,,,,0.039840000000000264,,one_step_common_input,,,0.00040334655649465365,,2.0162396682426333,,1,,1,,coupled_quadratic,3,0.005,flowstar,,0.21917508718494552,,49,,flowstar_root_cause_patch,0.040243346556494725
,,,,none_one_step,1.833661071024835,True,,,,False,0.005,0.005,tube,,,0.07999999958033072,4,,,"{""affine_state"": 1, ""constant"": 1, ""time_only"": 4, ""time_state"": 2, ""time_state_higher"": 8}",True,,,,,0.040164290759227894,,one_step_common_input,,,8.33249203966922e-10,,2.0088894818909466,,0,,1,,coupled_quadratic,16,0.005,flowstar,,0.12013200041357992,,69,,flowstar_root_cause_patch,0.04013200083324921
,,,,none_one_step,1.833661071024835,True,,,,False,0.005,0.005,tube,,,0.17892799957514327,4,,,"{""affine_state"": 1, ""constant"": 1, ""time_only"": 4, ""time_state"": 2, ""time_state_higher"": 7}",True,,,,,0.04119500701260939,,one_step_common_input,,,8.630290796799214e-10,,2.0088894818909466,,1,,1,,coupled_quadratic,15,0.005,flowstar,,0.2200000004381724,,69,,flowstar_root_cause_patch,0.04107200086302912
,,,,none_one_step,1.833661071024835,True,,,,False,0.005,0.005,endpoint_raw,,,0.08006775972580805,2,,,"{""affine_state"": 2, ""constant"": 1, ""state_state"": 3}",True,,,,,0.040063901070833574,,one_step_common_input,,,2.0283824920907905e-07,,2.0088894818909466,,0,,1,,coupled_quadratic,6,0.005,flowstar,,0.1201318656348906,,69,,flowstar_root_cause_patch,0.04006410590908255
