basis,carry_or_preconditioning,compile_or_jit_time_s,evaluation_time,excluded_from_authoritative,h,memory_kib,native_validation_passed,primary_numerical_eligible,requested_horizon,runtime_max_s,runtime_min_s,runtime_repetitions,runtime_statistic,steady_full_configuration_time_s,successful_horizon,system,tool,trajectory_sanity_passed,variant,width_at_evaluation_time,width_runtime_pareto
complete_total_degree_4,native_normalized_composition,1.7236090768128633,0.2500000000000001,False,0.005,unavailable,True,True,0.25,,,1,single_native_sweep,0.27973830606788397,0.25,coupled_quadratic,flowstar,True,root_cause_fixed_order_4,0.04296770088971223,False
complete_total_degree_6,native_normalized_composition,1.7244419329799712,0.2500000000000001,False,0.005,unavailable,True,True,0.25,,,1,single_native_sweep,1.1399605479091406,0.25,coupled_quadratic,flowstar,True,root_cause_fixed_order_6,0.0429676782190236,True
complete_total_degree_2,native_normalized_composition,1.7328161336481571,0.25000000000000006,False,0.01,unavailable,True,True,0.25,,,1,single_native_sweep,0.013268215116113424,0.25,coupled_quadratic,flowstar,True,root_cause_fixed_order_2,0.04301766242184424,True
complete_total_degree_3,native_normalized_composition,1.708881069906056,0.25000000000000006,False,0.01,unavailable,True,True,0.25,,,1,single_native_sweep,0.04785529198125005,0.25,coupled_quadratic,flowstar,True,root_cause_fixed_order_3,0.04297049618274264,True
complete_total_degree_4,native_normalized_composition,1.7189695099368691,0.25000000000000006,False,0.01,unavailable,True,True,0.25,,,1,single_native_sweep,0.13652167096734047,0.25,coupled_quadratic,flowstar,True,root_cause_fixed_order_4,0.042967728064041324,False
complete_total_degree_6,native_normalized_composition,1.7116250721737742,0.25000000000000006,False,0.01,unavailable,True,True,0.25,,,1,single_native_sweep,0.5799654829315841,0.25,coupled_quadratic,flowstar,True,root_cause_fixed_order_6,0.042967678236914345,True
complete_total_degree_2,native_normalized_composition,1.7090794062241912,1.0000000000000007,False,0.005,unavailable,True,True,1.0,,,1,single_native_sweep,0.08711940376088023,1.0,van_der_pol,flowstar,True,root_cause_fixed_order_2,0.17937393620021103,True
complete_total_degree_3,native_normalized_composition,1.7277964078821242,1.0000000000000007,False,0.005,unavailable,True,True,1.0,,,1,single_native_sweep,0.3217830960638821,1.0,van_der_pol,flowstar,True,root_cause_fixed_order_3,0.11693427079808316,True
complete_total_degree_4,native_normalized_composition,1.749727678950876,1.0000000000000007,False,0.005,unavailable,True,True,1.0,,,1,single_native_sweep,1.170560650061816,1.0,van_der_pol,flowstar,True,root_cause_fixed_order_4,0.11282176719263581,False
complete_total_degree_6,native_normalized_composition,1.709476558957249,1.0000000000000007,False,0.005,unavailable,True,True,1.0,,,1,single_native_sweep,8.888198421802372,1.0,van_der_pol,flowstar,True,root_cause_fixed_order_6,0.11255717016086303,True
complete_total_degree_2,native_normalized_composition,1.7164590819738805,1.0000000000000007,False,0.01,unavailable,True,True,1.0,,,1,single_native_sweep,0.045936278998851776,1.0,van_der_pol,flowstar,True,root_cause_fixed_order_2,0.23915014631179776,True
complete_total_degree_3,native_normalized_composition,1.717361053917557,1.0000000000000007,False,0.01,unavailable,True,True,1.0,,,1,single_native_sweep,0.16295035416260362,1.0,van_der_pol,flowstar,True,root_cause_fixed_order_3,0.12151545904298577,True
complete_total_degree_4,native_normalized_composition,1.7471560211852193,1.0000000000000007,False,0.01,unavailable,True,True,1.0,,,1,single_native_sweep,0.5719354799948633,1.0,van_der_pol,flowstar,True,root_cause_fixed_order_4,0.113239997430433,False
complete_total_degree_6,native_normalized_composition,1.7437406061217189,1.0000000000000007,False,0.01,unavailable,True,True,1.0,,,1,single_native_sweep,4.576063263695687,1.0,van_der_pol,flowstar,True,root_cause_fixed_order_6,0.1125595187263233,True
complete_total_degree_4,native_normalized_composition; public QR off/on toggle not exposed in this Flow* checkout,0.0,9.999999999999,False,adaptive_0.002_to_0.1,unavailable,True,True,10.0,,,1,single_native_sweep,1.5103623140603304,10.0,van_der_pol,flowstar,True,adaptive_order4_symbolic100,0.5209541309886361,True
,selected_native_practical,0.0,1.0,False,0.01,396496.0,True,True,1.0,3.644489011261612,3.632224111817777,10,median_full_configuration,3.638839315623045,1.0,riccati,torch_tm_flowpipe,True,order2_affine_reset_selected,0.11473790771246169,False
,selected_native_practical,0.0,1.0,False,0.01,396496.0,True,True,1.0,19.13466871343553,11.195225977804512,10,median_full_configuration,18.562685540877283,1.0,riccati,torch_tm_flowpipe,True,order4_affine_reset_selected,0.1139617329824736,False
,selected_native_practical,0.0,4.0,False,0.01,396496.0,True,True,4.0,13.037594927009195,12.676820629741997,10,median_full_configuration,12.701799672329798,4.0,harmonic,torch_tm_flowpipe,True,order2_affine_reset_selected,10.973092497064886,True
,selected_native_practical,0.0,4.0,False,0.01,396496.0,True,True,4.0,23.13433528551832,23.03280874993652,10,median_full_configuration,23.0829613476526,4.0,harmonic,torch_tm_flowpipe,True,order4_affine_reset_selected,10.494236021719196,True
,selected_native_practical,0.0,0.25,False,0.005,396496.0,True,True,0.25,7.20608607493341,6.139640449080616,10,median_full_configuration,6.148705520201474,0.25,coupled_quadratic,torch_tm_flowpipe,True,order2_affine_reset_selected,0.043027088479031264,True
,selected_native_practical,0.0,0.25,False,0.005,396496.0,True,True,0.25,41.478480943478644,25.321686695795506,10,median_full_configuration,41.388151709456,0.25,coupled_quadratic,torch_tm_flowpipe,True,order4_affine_reset_selected,0.04296633789350138,False
,selected_native_practical,0.0,0.25,False,0.01,396496.0,True,True,0.25,3.0908645926974714,3.074628974776715,10,median_full_configuration,3.079569525551051,0.25,coupled_quadratic,torch_tm_flowpipe,True,order2_affine_reset_selected,0.04303909579551132,True
,selected_native_practical,0.0,0.25,False,0.01,396496.0,True,True,0.25,20.785416579339653,12.666003314778209,10,median_full_configuration,17.348749640164897,0.25,coupled_quadratic,torch_tm_flowpipe,True,order4_affine_reset_selected,0.04296626780213819,False
,selected_native_practical,0.0,1.0,False,0.005,396496.0,True,True,1.0,52.63282905286178,31.887488077394664,10,median_full_configuration,52.554726557806134,1.0,van_der_pol,torch_tm_flowpipe,True,order2_affine_reset_selected,1.6187956685895426,False
,selected_native_practical,0.0,1.0,False,0.005,396496.0,True,True,1.0,178.2900994042866,109.83125224430114,10,median_full_configuration,164.8898381611798,1.0,van_der_pol,torch_tm_flowpipe,True,order4_affine_reset_selected,0.9281168574156631,False
,selected_native_practical,0.0,1.0,False,0.01,396496.0,True,True,1.0,26.359329281840473,26.29135054303333,10,median_full_configuration,26.347257008077577,1.0,van_der_pol,torch_tm_flowpipe,True,order2_affine_reset_selected,1.9405468677370796,False
,selected_native_practical,0.0,1.0,False,0.01,396496.0,True,True,1.0,105.85550213744864,80.32310825958848,10,median_full_configuration,103.1988519798033,1.0,van_der_pol,torch_tm_flowpipe,True,order4_affine_reset_selected,0.911288076111195,False
,selected_native_practical,0.8926654569804668,1.0,False,0.01,431688.0,True,True,1.0,0.0017677750438451767,0.001628388650715351,10,median_full_configuration,0.0017184927128255367,1.0,riccati,diffreach,True,restricted_quasi_window100_round5_selected,0.11389458226420779,True
,selected_native_practical,1.4554826291278005,4.0,False,0.01,526840.0,True,True,4.0,0.015299787744879723,0.01496225968003273,10,median_full_configuration,0.015098338015377522,4.0,harmonic,diffreach,True,restricted_quasi_window100_round5_selected,0.3031861786118206,True
,selected_native_practical,3.2386256949976087,0.25,False,0.005,621616.0,True,True,0.25,0.004029444418847561,0.0031478768214583397,10,median_full_configuration,0.0035914061591029167,0.25,coupled_quadratic,diffreach,True,restricted_quasi_window100_round5_selected,0.0429775920432517,True
,selected_native_practical,3.267505587078631,0.25,False,0.01,657488.0,True,True,0.25,0.00241235364228487,0.0018019340932369232,10,median_full_configuration,0.0021049431525170803,0.25,coupled_quadratic,diffreach,True,restricted_quasi_window100_round5_selected,0.04298894317792923,True
,selected_native_practical,3.461324921809137,1.0,False,0.005,692976.0,True,True,1.0,0.013651798479259014,0.012806909158825874,10,median_full_configuration,0.013108201790601015,1.0,van_der_pol,diffreach,True,restricted_quasi_window100_round5_selected,0.14064663658680115,False
,selected_native_practical,3.491240721195936,1.0,False,0.01,727040.0,True,True,1.0,0.007818452082574368,0.00596008263528347,10,median_full_configuration,0.006060307379812002,1.0,van_der_pol,diffreach,True,restricted_quasi_window100_round5_selected,0.15133241787615204,True
,selected_native_practical,1.7005488313734531,1.0,False,0.01,unavailable,True,True,1.0,0.06284685898572206,0.06064287666231394,10,median_full_configuration,0.061424425803124905,1.0,riccati,flowstar,True,root_cause_order4_selected,0.11696258259713109,False
,selected_native_practical,1.7089600274339318,4.0,False,0.01,unavailable,True,True,4.0,0.12085776403546333,0.11446875892579556,10,median_full_configuration,0.1152743804268539,4.0,harmonic,flowstar,True,root_cause_order4_selected,0.28209137296574344,True
,selected_native_practical,1.7121694004163146,0.25,False,0.005,unavailable,True,True,0.25,0.2563861720263958,0.24995960015803576,10,median_full_configuration,0.25262487726286054,0.25,coupled_quadratic,flowstar,True,root_cause_order4_selected,0.04296770088971223,True
,selected_native_practical,1.7108448389917612,0.25,False,0.01,unavailable,True,True,0.25,0.13350062537938356,0.12411589175462723,10,median_full_configuration,0.12507077446207404,0.25,coupled_quadratic,flowstar,True,root_cause_order4_selected,0.042967728064041324,True
,selected_native_practical,1.7142012743279338,1.0,False,0.005,unavailable,True,True,1.0,1.1137682851403952,1.1008211746811867,10,median_full_configuration,1.1072829510085285,1.0,van_der_pol,flowstar,True,root_cause_order4_selected,0.11282176719263581,True
,selected_native_practical,1.7571283336728811,1.0,False,0.01,unavailable,True,True,1.0,0.5647878600284457,0.5539540965110064,10,median_full_configuration,0.5571194994263351,1.0,van_der_pol,flowstar,True,root_cause_order4_selected,0.113239997430433,True
