run_id,segment_index,t_hi,dimension,rank,monomial,interval_contribution_width,coefficient,total_degree,time_power,source_note
flowstar_style_o6_candidate8_output6_insert,22,2.0000000000000004,x,3,scale_x,0.039000983596669543,,1,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,22,2.0000000000000004,y,4,scale_y,0.030658179947774093,,1,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,23,2.1000000000000005,x,1,aggregate_right_map_x,0.06890163255337993,,6,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,23,2.1000000000000005,y,2,aggregate_right_map_y,0.057437617915602986,,6,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,23,2.1000000000000005,x,3,scale_x,0.041354215001164658,,1,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,23,2.1000000000000005,y,4,scale_y,0.03447360407021411,,1,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,24,2.2000000000000006,x,1,aggregate_right_map_x,0.073458066327289379,,6,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,24,2.2000000000000006,y,2,aggregate_right_map_y,0.065328054345748537,,6,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,24,2.2000000000000006,x,3,scale_x,0.044236495087133502,,1,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,24,2.2000000000000006,y,4,scale_y,0.039340596609798002,,1,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,25,2.3000000000000007,x,1,aggregate_right_map_x,0.079044857844659588,,6,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,25,2.3000000000000007,y,2,aggregate_right_map_y,0.07510261612205732,,6,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,25,2.3000000000000007,x,3,scale_x,0.047723895535228975,,1,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,25,2.3000000000000007,y,4,scale_y,0.04534373903581617,,1,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,26,2.4000000000000008,y,1,aggregate_right_map_y,0.086769247076585468,,6,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,26,2.4000000000000008,x,2,aggregate_right_map_x,0.085789686035604079,,6,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,26,2.4000000000000008,y,3,scale_y,0.052493830947213153,,1,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,26,2.4000000000000008,x,4,scale_x,0.05190121416857104,,1,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,27,2.5000000000000009,y,1,aggregate_right_map_y,0.10000656254207525,,6,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,27,2.5000000000000009,x,2,aggregate_right_map_x,0.093805730106407137,,6,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,27,2.5000000000000009,y,3,scale_y,0.060605101484862388,,1,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,27,2.5000000000000009,x,4,scale_x,0.0568473272998316,,1,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,28,2.600000000000001,y,1,aggregate_right_map_y,0.11380067626516807,,6,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,28,2.600000000000001,x,2,aggregate_right_map_x,0.10313612913432033,,6,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,28,2.600000000000001,y,3,scale_y,0.069077486697729396,,1,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,28,2.600000000000001,x,4,scale_x,0.062604061962960339,,1,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,29,2.7000000000000011,y,1,aggregate_right_map_y,0.1259246231645125,,6,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,29,2.7000000000000011,x,2,aggregate_right_map_x,0.11365651348959312,,6,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,29,2.7000000000000011,y,3,scale_y,0.076578237922147754,,1,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,29,2.7000000000000011,x,4,scale_x,0.069117661920951035,,1,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,30,2.8000000000000012,y,1,aggregate_right_map_y,0.13243878746366894,,6,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,30,2.8000000000000012,x,2,aggregate_right_map_x,0.12492915527143489,,6,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,30,2.8000000000000012,y,3,scale_y,0.080717370046465842,,1,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,30,2.8000000000000012,x,4,scale_x,0.076140480056895901,,1,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,31,2.9000000000000012,x,1,aggregate_right_map_x,0.13736859757308231,,6,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,31,2.9000000000000012,y,2,aggregate_right_map_y,0.13026093096060815,,6,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,31,2.9000000000000012,x,3,scale_x,0.083684675650720339,,1,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,31,2.9000000000000012,y,4,scale_y,0.07935469932711349,,1,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,32,3.0000000000000013,x,1,aggregate_right_map_x,0.1494695778603656,,6,0,"aggregate persisted diagnostic, not exact sparse monomial"
