file,line,function,primitive_calls,total_calls,self_seconds,inclusive_seconds
/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/batched_dense_tm.py,2291,<genexpr>,18200,18200,0.007402123,0.007402123
/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/symbolic_remainder.py,550,<listcomp>,289,289,0.007372063000000001,0.039474141000000004
/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/interval.py,91,dtype,32390,32390,0.007348544,0.007348544
/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/symbolic_remainder.py,158,dim,34008,34008,0.007256623,0.009224826
/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/batched_dense_tm.py,1878,__post_init__,3160,3160,0.007251371,0.010342339
~,0,<method 'pop' of 'list' objects>,48020,48020,0.007221064,0.007221064
/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/polynomial.py,154,<genexpr>,50965,50965,0.007220982000000001,0.007220982000000001
/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/batched_dense_tm.py,329,complete,120,120,0.007177966,0.11031734200000001
/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/batched_dense_tm.py,1174,<listcomp>,5400,5400,0.007073397,0.007073397
/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/symbolic_remainder.py,345,_tensorized_interval_matrix_update_and_image,20,20,0.007072336,0.256304511
/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/batched_dense_tm.py,2377,_check_domain,1540,1540,0.006980246000000001,0.080896744
/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/batched_dense_tm.py,2710,<listcomp>,2100,2100,0.006876551000000001,0.019147836
/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/batched_dense_tm.py,2289,<genexpr>,18200,18200,0.006841337,0.006841337
/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/symbolic_remainder.py,333,_tensor_interval_add,1066,1066,0.006790740000000001,0.015515743
/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/batched_dense_tm.py,2609,integrate,140,140,0.006759696000000001,0.297668294
/srv/local/shengenli/miniforge3/envs/py11/lib/python3.11/site-packages/yaml/parser.py,446,parse_block_mapping_value,3660,3660,0.006700276000000001,0.25360720200000003
/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/polynomial.py,241,<genexpr>,38934,38934,0.006647096000000001,0.006647096000000001
/srv/local/shengenli/miniforge3/envs/py11/lib/python3.11/site-packages/yaml/scanner.py,325,unwind_indent,22540,22540,0.006564292,0.008161854000000001
/srv/local/shengenli/miniforge3/envs/py11/lib/python3.11/site-packages/yaml/constructor.py,173,construct_scalar,10500,10500,0.006493279,0.011204931000000001
~,0,<built-in method builtins.sum>,22302,22302,0.006312899,0.016717056
/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/batched_dense_tm.py,2717,<listcomp>,2100,2100,0.006240439,0.017376912
/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/endpoint_substitution.py,16,<genexpr>,3180,3180,0.006221778000000001,0.030109796
/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/polynomial.py,204,__add__,362,362,0.006202172000000001,0.16187430500000002
/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/flowpipe.py,1458,_append_horner_stage,305,305,0.006129774,2.5751223380000003
/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/flowpipe.py,1406,_tm_mul_ctrunc_horner_stage,181,181,0.006006214,3.167301465
/srv/local/shengenli/miniforge3/envs/py11/lib/python3.11/site-packages/yaml/constructor.py,132,construct_mapping,1580,1580,0.005877210000000001,0.03929543
~,0,<method 'item' of 'torch._C.TensorBase' objects>,7795,7795,0.005715498,0.005715498
/srv/local/shengenli/miniforge3/envs/py11/lib/python3.11/numbers.py,283,__float__,6260,6260,0.005610028,0.007292807
/srv/local/shengenli/miniforge3/envs/py11/lib/python3.11/site-packages/yaml/parser.py,542,parse_flow_mapping_key,2260,2260,0.00547965,0.101399186
/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/batched_dense_tm.py,4226,_validated_remainder_decomposition,120,120,0.005380671,0.18701014800000001
~,0,<built-in method torch.sum>,1080,1080,0.005266571,0.005266571
