window,plant,execution_mode,instrumentation,step,history_before,replay_calls,solve_seconds,prepared_plan_count,prepared_operation_count,prepared_operation_hits,prepared_plan_setup_s
brusselator_0101_0120,brusselator,reference,cprofile,110,109,9,2.3126923367381096,0,0,0,0.0
brusselator_0101_0120,brusselator,reference,cprofile,111,110,9,2.2476421897299588,0,0,0,0.0
brusselator_0101_0120,brusselator,reference,cprofile,112,111,9,2.2710568527691066,0,0,0,0.0
brusselator_0101_0120,brusselator,reference,cprofile,113,112,9,2.2347586448304355,0,0,0,0.0
brusselator_0101_0120,brusselator,reference,cprofile,114,113,9,2.277269592974335,0,0,0,0.0
brusselator_0101_0120,brusselator,reference,cprofile,115,114,9,2.2616913886740804,0,0,0,0.0
brusselator_0101_0120,brusselator,reference,cprofile,116,115,9,2.258453738875687,0,0,0,0.0
brusselator_0101_0120,brusselator,reference,cprofile,117,116,9,2.2552962731570005,0,0,0,0.0
brusselator_0101_0120,brusselator,reference,cprofile,118,117,9,2.2533655436709523,0,0,0,0.0
brusselator_0101_0120,brusselator,reference,cprofile,119,118,9,2.2479042671620846,0,0,0,0.0
brusselator_0101_0120,brusselator,reference,cprofile,120,119,9,2.2351202350109816,0,0,0,0.0
brusselator_0101_0120,brusselator,prepared_remainder_replay,production_diagnostic,101,100,9,1.3290219088084996,1,34,272,0.06864974368363619
brusselator_0101_0120,brusselator,prepared_remainder_replay,production_diagnostic,102,101,9,1.3186465362086892,1,34,272,0.06827917927876115
brusselator_0101_0120,brusselator,prepared_remainder_replay,production_diagnostic,103,102,9,1.3087887819856405,1,34,272,0.06613562535494566
brusselator_0101_0120,brusselator,prepared_remainder_replay,production_diagnostic,104,103,9,1.3185709910467267,1,34,272,0.0670703025534749
brusselator_0101_0120,brusselator,prepared_remainder_replay,production_diagnostic,105,104,9,1.3157516331411898,1,34,272,0.06657657912001014
brusselator_0101_0120,brusselator,prepared_remainder_replay,production_diagnostic,106,105,9,1.3709318120963871,1,34,272,0.06692631030455232
brusselator_0101_0120,brusselator,prepared_remainder_replay,production_diagnostic,107,106,9,1.3168152286671102,1,34,272,0.06631610076874495
brusselator_0101_0120,brusselator,prepared_remainder_replay,production_diagnostic,108,107,9,1.3186180531047285,1,34,272,0.06511927163228393
brusselator_0101_0120,brusselator,prepared_remainder_replay,production_diagnostic,109,108,9,1.3302459120750427,1,34,272,0.07007333263754845
brusselator_0101_0120,brusselator,prepared_remainder_replay,production_diagnostic,110,109,9,1.3146083988249302,1,34,272,0.06479063676670194
brusselator_0101_0120,brusselator,prepared_remainder_replay,production_diagnostic,111,110,9,1.2904476202093065,1,34,272,0.06494441442191601
brusselator_0101_0120,brusselator,prepared_remainder_replay,production_diagnostic,112,111,9,1.3135354649275541,1,34,272,0.06518588215112686
brusselator_0101_0120,brusselator,prepared_remainder_replay,production_diagnostic,113,112,9,1.288965323008597,1,34,272,0.06511228438466787
brusselator_0101_0120,brusselator,prepared_remainder_replay,production_diagnostic,114,113,9,1.3049521818757057,1,34,272,0.06481938809156418
brusselator_0101_0120,brusselator,prepared_remainder_replay,production_diagnostic,115,114,9,1.2935802140273154,1,34,272,0.06480954587459564
brusselator_0101_0120,brusselator,prepared_remainder_replay,production_diagnostic,116,115,9,1.294740923680365,1,34,272,0.06685848440974951
brusselator_0101_0120,brusselator,prepared_remainder_replay,production_diagnostic,117,116,9,1.3037312719970942,1,34,272,0.06592658068984747
brusselator_0101_0120,brusselator,prepared_remainder_replay,production_diagnostic,118,117,9,1.2919098949059844,1,34,272,0.06497081089764833
brusselator_0101_0120,brusselator,prepared_remainder_replay,production_diagnostic,119,118,9,1.2967736790888011,1,34,272,0.0656034154817462
brusselator_0101_0120,brusselator,prepared_remainder_replay,production_diagnostic,120,119,9,1.2988067511469126,1,34,272,0.06485621305182576
brusselator_0101_0120,brusselator,prepared_remainder_replay,scoped,101,100,9,1.3554476532153785,1,34,272,0.06544882105663419
brusselator_0101_0120,brusselator,prepared_remainder_replay,scoped,102,101,9,1.3710579457692802,1,34,272,0.06885358085855842
brusselator_0101_0120,brusselator,prepared_remainder_replay,scoped,103,102,9,1.363900390919298,1,34,272,0.0659188125282526
brusselator_0101_0120,brusselator,prepared_remainder_replay,scoped,104,103,9,1.4638524637557566,1,34,272,0.11915194289758801
brusselator_0101_0120,brusselator,prepared_remainder_replay,scoped,105,104,9,1.365971420891583,1,34,272,0.06493919435888529
brusselator_0101_0120,brusselator,prepared_remainder_replay,scoped,106,105,9,1.3476181882433593,1,34,272,0.06541982898488641
brusselator_0101_0120,brusselator,prepared_remainder_replay,scoped,107,106,9,1.3541912008076906,1,34,272,0.06573511427268386
brusselator_0101_0120,brusselator,prepared_remainder_replay,scoped,108,107,9,1.3568019149824977,1,34,272,0.06519441353157163
brusselator_0101_0120,brusselator,prepared_remainder_replay,scoped,109,108,9,1.347080101724714,1,34,272,0.06556500773876905
brusselator_0101_0120,brusselator,prepared_remainder_replay,scoped,110,109,9,1.355152091011405,1,34,272,0.06562888575717807
brusselator_0101_0120,brusselator,prepared_remainder_replay,scoped,111,110,9,1.3585032052360475,1,34,272,0.06935966946184635
brusselator_0101_0120,brusselator,prepared_remainder_replay,scoped,112,111,9,1.3464990952052176,1,34,272,0.06593812257051468
brusselator_0101_0120,brusselator,prepared_remainder_replay,scoped,113,112,9,1.3547595012933016,1,34,272,0.07141466159373522
brusselator_0101_0120,brusselator,prepared_remainder_replay,scoped,114,113,9,1.3445450509898365,1,34,272,0.0657778405584395
brusselator_0101_0120,brusselator,prepared_remainder_replay,scoped,115,114,9,1.3371639177203178,1,34,272,0.06820352468639612
brusselator_0101_0120,brusselator,prepared_remainder_replay,scoped,116,115,9,1.34792469907552,1,34,272,0.06668179947882891
brusselator_0101_0120,brusselator,prepared_remainder_replay,scoped,117,116,9,1.325220778118819,1,34,272,0.06508010486140847
brusselator_0101_0120,brusselator,prepared_remainder_replay,scoped,118,117,9,1.3460915903560817,1,34,272,0.06572984205558896
brusselator_0101_0120,brusselator,prepared_remainder_replay,scoped,119,118,9,1.3511594701558352,1,34,272,0.06500090006738901
brusselator_0101_0120,brusselator,prepared_remainder_replay,scoped,120,119,9,1.3315480770543218,1,34,272,0.06534317508339882
brusselator_0101_0120,brusselator,prepared_remainder_replay,cprofile,101,100,9,1.6919982838444412,1,34,272,0.07749021332710981
brusselator_0101_0120,brusselator,prepared_remainder_replay,cprofile,102,101,9,1.6569357928819954,1,34,272,0.07769465120509267
brusselator_0101_0120,brusselator,prepared_remainder_replay,cprofile,103,102,9,1.647881891578436,1,34,272,0.07890701852738857
brusselator_0101_0120,brusselator,prepared_remainder_replay,cprofile,104,103,9,1.6324362847954035,1,34,272,0.07765919668599963
brusselator_0101_0120,brusselator,prepared_remainder_replay,cprofile,105,104,9,1.6621741852723062,1,34,272,0.07978055020794272
brusselator_0101_0120,brusselator,prepared_remainder_replay,cprofile,106,105,9,1.6509102559648454,1,34,272,0.07758964598178864
brusselator_0101_0120,brusselator,prepared_remainder_replay,cprofile,107,106,9,1.641194751020521,1,34,272,0.0776791488751769
brusselator_0101_0120,brusselator,prepared_remainder_replay,cprofile,108,107,9,1.6545586800202727,1,34,272,0.0790338939987123
brusselator_0101_0120,brusselator,prepared_remainder_replay,cprofile,109,108,9,1.6396686951629817,1,34,272,0.07777703180909157
brusselator_0101_0120,brusselator,prepared_remainder_replay,cprofile,110,109,9,1.649391822051257,1,34,272,0.08570505818352103
brusselator_0101_0120,brusselator,prepared_remainder_replay,cprofile,111,110,9,1.6483674147166312,1,34,272,0.07933062268421054
brusselator_0101_0120,brusselator,prepared_remainder_replay,cprofile,112,111,9,1.6565921613946557,1,34,272,0.07770290458574891
brusselator_0101_0120,brusselator,prepared_remainder_replay,cprofile,113,112,9,1.6239854129962623,1,34,272,0.07750548981130123
brusselator_0101_0120,brusselator,prepared_remainder_replay,cprofile,114,113,9,1.6456280038692057,1,34,272,0.07894069002941251
brusselator_0101_0120,brusselator,prepared_remainder_replay,cprofile,115,114,9,1.6366435009986162,1,34,272,0.07796808518469334
brusselator_0101_0120,brusselator,prepared_remainder_replay,cprofile,116,115,9,1.6330843172036111,1,34,272,0.07938889041543007
brusselator_0101_0120,brusselator,prepared_remainder_replay,cprofile,117,116,9,1.646336117759347,1,34,272,0.07786444388329983
brusselator_0101_0120,brusselator,prepared_remainder_replay,cprofile,118,117,9,1.6349378670565784,1,34,272,0.07771094143390656
brusselator_0101_0120,brusselator,prepared_remainder_replay,cprofile,119,118,9,1.6445734407752752,1,34,272,0.07795594912022352
brusselator_0101_0120,brusselator,prepared_remainder_replay,cprofile,120,119,9,1.6801687870174646,1,34,272,0.07753411773592234
brusselator_0981_1000,brusselator,reference,production_diagnostic,981,980,9,2.0805846247822046,0,0,0,0.0
brusselator_0981_1000,brusselator,reference,production_diagnostic,982,981,9,2.086991794873029,0,0,0,0.0
brusselator_0981_1000,brusselator,reference,production_diagnostic,983,982,9,2.103853619657457,0,0,0,0.0
