analytic_containment_applicability,analytic_containment_passed,analytic_reference_contained,cold_total_configuration_time_s,compile_or_jit_time_s,completed_requested_horizon,completed_steps,device,dtype,engine_internal_time_s,evaluation_time,failure_category,first_step_time_s,h,measurement_phase,memory_measurement,memory_measurement_reason,memory_unavailable_reason,message,native_validation_passed,observation_source,peak_process_rss_kib,plot_report_time_s,posthoc_validation_time_s,repetition,requested_horizon,requested_steps,reset_discarded_term_count,runtime_boundary_version,steady_full_configuration_time_s,steady_step_time_s,steady_total_configuration_time_s,successful_horizon,system,tool,trajectory_sanity_passed,variant,width_at_evaluation_time
not_applicable,False,,0.0,0.0,True,50,cpu,float64,6.898406043124851,0.25,completed,0.1549372909939848,0.005,steady,unavailable,,configuration did not run in an isolated measurement subprocess,,True,torch,unavailable,0.0,1.95804750546813e-06,7,0.25,50,0,total_configuration_v2,7.0118424599641,0.1366862499853596,7.0118424599641,0.25,coupled_quadratic,torch_tm_flowpipe,True,order2_affine_reset_selected,0.043027088479031264
not_applicable,False,,0.0,0.0,True,50,cpu,float64,6.786804791656323,0.25,completed,0.13730954204220325,0.005,steady,unavailable,,configuration did not run in an isolated measurement subprocess,,True,torch,unavailable,0.0,2.333021257072687e-06,8,0.25,50,0,total_configuration_v2,6.899763668596279,0.13804020901443437,6.899763668596279,0.25,coupled_quadratic,torch_tm_flowpipe,True,order2_affine_reset_selected,0.043027088479031264
not_applicable,False,,0.0,0.0,True,50,cpu,float64,6.782492250262294,0.25,completed,0.1379518749890849,0.005,steady,unavailable,,configuration did not run in an isolated measurement subprocess,,True,torch,unavailable,0.0,2.374988980591297e-06,9,0.25,50,0,total_configuration_v2,6.894864374015015,0.13793754199286923,6.894864374015015,0.25,coupled_quadratic,torch_tm_flowpipe,True,order2_affine_reset_selected,0.043027088479031264
not_applicable,False,,0.0,0.0,True,50,cpu,float64,6.798427332134452,0.25,completed,0.13694229198154062,0.005,steady,unavailable,,configuration did not run in an isolated measurement subprocess,,True,torch,unavailable,0.0,2.416956704109907e-06,10,0.25,50,0,total_configuration_v2,6.91147841908969,0.13771375000942498,6.91147841908969,0.25,coupled_quadratic,torch_tm_flowpipe,True,order2_affine_reset_selected,0.043027088479031264
not_applicable,False,,27.93059103889391,0.0,True,50,cpu,float64,27.71020733192563,0.25,completed,0.5599479580414481,0.005,cold,unavailable,,configuration did not run in an isolated measurement subprocess,,True,torch,unavailable,0.0,3.0830269679427147e-06,0,0.25,50,250,total_configuration_v2,27.93059103889391,0.5579048750223592,27.93059103889391,0.25,coupled_quadratic,torch_tm_flowpipe,True,order4_affine_reset_selected,0.04296633789350131
not_applicable,False,,0.0,0.0,True,50,cpu,float64,28.400080249644816,0.25,completed,0.5618415000499226,0.005,steady,unavailable,,configuration did not run in an isolated measurement subprocess,,True,torch,unavailable,0.0,2.5420449674129486e-06,1,0.25,50,250,total_configuration_v2,28.625343457213603,0.5593716250150464,28.625343457213603,0.25,coupled_quadratic,torch_tm_flowpipe,True,order4_affine_reset_selected,0.04296633789350131
not_applicable,False,,0.0,0.0,True,50,cpu,float64,27.788332875061315,0.25,completed,0.5652979159494862,0.005,steady,unavailable,,configuration did not run in an isolated measurement subprocess,,True,torch,unavailable,0.0,2.9159709811210632e-06,2,0.25,50,250,total_configuration_v2,28.009137957997154,0.5588111669640057,28.009137957997154,0.25,coupled_quadratic,torch_tm_flowpipe,True,order4_affine_reset_selected,0.04296633789350131
not_applicable,False,,0.0,0.0,True,50,cpu,float64,27.50273004185874,0.25,completed,0.5446094169747084,0.005,steady,unavailable,,configuration did not run in an isolated measurement subprocess,,True,torch,unavailable,0.0,5.999987479299307e-06,3,0.25,50,250,total_configuration_v2,27.719714002974797,0.5512935419683345,27.719714002974797,0.25,coupled_quadratic,torch_tm_flowpipe,True,order4_affine_reset_selected,0.04296633789350131
not_applicable,False,,0.0,0.0,True,50,cpu,float64,27.80648158385884,0.25,completed,0.5485444999649189,0.005,steady,unavailable,,configuration did not run in an isolated measurement subprocess,,True,torch,unavailable,0.0,2.0840088836848736e-06,4,0.25,50,250,total_configuration_v2,28.027981916966382,0.5588010419742204,28.027981916966382,0.25,coupled_quadratic,torch_tm_flowpipe,True,order4_affine_reset_selected,0.04296633789350131
not_applicable,False,,0.0,0.0,True,50,cpu,float64,28.043183379922993,0.25,completed,0.5523574160179123,0.005,steady,unavailable,,configuration did not run in an isolated measurement subprocess,,True,torch,unavailable,0.0,5.249981768429279e-06,5,0.25,50,250,total_configuration_v2,28.26683312433306,0.5525815419969149,28.26683312433306,0.25,coupled_quadratic,torch_tm_flowpipe,True,order4_affine_reset_selected,0.04296633789350131
